mlo	id_mlo
cytoplasmic stress granule	1
cytoplasmic ribonucleoprotein granule	2
synaptosome, neuron projection	3
neuronal ribonucleoprotein granule	4
nuclear protein granule	5
	6
membrane cluster	7
actin cortical patch	8
Arp2/3 protein complex	9
P granule	10
pi-body	11
nuclear pore central transport channel	12
selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel	13
extracellular matrix	14
collagen-containing extracellular matrix	15
paraspeckle	16
heterochromatin	17
nucleolus	18
granular component	19
cytoplasmic protein granule	20
cytoplasmic microtubule	21
condensed compartments of microtubule bundling	22
RISC complex	23
P-body	24
micro-ribonucleoprotein complex	25
miRISC	26
GW-body	27
galectin complex	28
galectin lattice	29
inclusion body	30
p62 body	31
TCR signalosome	32
LAT signalosome	33
presynaptic cytosol	34
a matrix holding together clusters of synaptic vesicles (SVs)	35
intracellular DNA/protein granule	36
cGAS foci	37
enhanceosome	38
nuclear body	39
nuclear bodies that occur at super enhancers in mESCs	40
ribonucleoprotein complex	41
Sam68 nuclear bodies (SNBs)	42
SPOP/DAXX body	43
RNA polymerase II, holoenzyme	44
POLII clusters	45
nuclear speckle	46
PcG protein complex	47
euchromatin	48
PcG chromatin condensates	49
TIS granule	50
robustly E2-activated enhancers (MegaTrans) enhancers	51
liquid-like DYRK3 speckles	52
PML body	53
postsynaptic density	54
MORC3-NBs	55
Stress granule	56
Transcription Factories	57
Z granule	58
null_phasepdb_rev	59
Pre and postsynaptic densities	60
Cajal body	61
Membrane clusters	62
Signaling puncta	63
Paraspeckle	64
Nucleolus	65
P-body, Stress granule	66
Histone Locus body	67
Histone locus body	68
Sam68 nuclear bodies	69
Nuclear pore complex	70
Nucleus speckles	71
Centrosome	72
RNP granules	73
Neuronal inclusions	74
Nuclear Compartments	75
TAU protein	76
Heterochromatin	77
Polycomb body	78
null_phasepdb_uniprot	79
SMN granule	80
Spindle pole	81
Cytoplasmic ribonucleoprotein granule	82
Nuclear body	83
Gem	84
Cytoplasmic granule	85
P-body, GW body	86
Pre and postsynaptic density	87
Inflammasome	88
Sress granule	89
Nuclear speckles	90
Polycomb bodies	91
null_phasepdb_ht	92
Droplet	93
DNA damage foci	94
Gemini of cajal body	95
Nuclear speckle	96
Others	97
Spindle apparatus	98
Sam68 nuclear body	99
Postsynaptic density	100
Centrosome/Spindle pole body	101
Microtubule	102
PcG body	103
PML nuclear body	104
Nuage	105
Neuronal granule	106
Cleavage body	107
DDX1 body	108
Chromatoid body	109
Balbiani body	110
OPT domain	111
Mitochondrial RNA granule	112
Perinucleolar compartment	113
U body	114
Receptor cluster	115
Pericentriolar matrix	116
Nuclear stress body	117
