id_incross	id_disease	id_cross
MONDO:0014664	1	4
MONDO:0018772	2	4
MONDO:0014688	3	4
MONDO:0008939	4	4
MONDO:0001071	6	4
MONDO:0019118	7	4
MONDO:0015369	8	4
MONDO:0009047	10	4
MONDO:0005336	11	4
MONDO:0005395	21	4
MONDO:0001210	28	4
MONDO:0013578	30	4
MONDO:0010306	33	4
MONDO:0007903	35	4
MONDO:0015356	36	4
MONDO:0005089	37	4
MONDO:0018875	38	4
MONDO:0018874	39	4
MONDO:0008433	41	4
MONDO:0005012	42	4
MONDO:0006046	43	4
MONDO:0009693	45	4
MONDO:0005082	46	4
MONDO:0021211	47	4
MONDO:0007959	49	4
MONDO:0005036	50	4
MONDO:0002529	51	4
MONDO:0005611	53	4
MONDO:0002911	54	4
MONDO:0004948	55	4
MONDO:0019086	56	4
MONDO:0018881	58	4
MONDO:0007256	59	4
MONDO:0006047	60	4
MONDO:0005097	61	4
MONDO:0005061	63	4
MONDO:0018177	64	4
MONDO:0005062	67	4
MONDO:0023644	68	4
MONDO:0005212	69	4
MONDO:0012432	70	4
MONDO:0017080	73	4
MONDO:0014442	74	4
MONDO:0012626	75	4
MONDO:0012433	76	4
MONDO:0012723	77	4
MONDO:0019005	78	4
MONDO:0018921	79	4
MONDO:0004843	81	4
MONDO:0019269	82	4
MONDO:0006468	87	4
MONDO:0018580	90	4
MONDO:0012233	99	4
MONDO:0016419	101	4
MONDO:0005058	103	4
MONDO:0008315	106	4
MONDO:0005292	110	4
MONDO:0002049	111	4
MONDO:0006033	113	4
MONDO:0007402	116	4
MONDO:0004989	118	4
MONDO:0005045	119	4
MONDO:0000594	121	4
MONDO:0011627	124	4
MONDO:0014358	130	4
MONDO:0004988	135	4
MONDO:0002032	137	4
MONDO:0005233	139	4
MONDO:0008420	140	4
MONDO:0013038	141	4
MONDO:0005086	144	4
MONDO:0016736	146	4
MONDO:0007646	148	4
MONDO:0012812	154	4
MONDO:0016021	155	4
MONDO:0008093	157	4
MONDO:0044792	158	4
MONDO:0009578	159	4
MONDO:0005105	161	4
MONDO:0009623	164	4
MONDO:0011450	165	4
MONDO:0018838	166	4
MONDO:0005072	169	4
MONDO:0021060	172	4
MONDO:0017475	173	4
MONDO:0013125	175	4
MONDO:0008021	176	4
MONDO:0011240	177	4
MONDO:0017623	178	4
MONDO:0003220	182	4
MONDO:0009945	183	4
MONDO:0002602	184	4
MONDO:0005027	187	4
MONDO:0008104	189	4
MONDO:0007979	190	4
MONDO:0100082	191	4
MONDO:0011908	192	4
MONDO:0018997	193	4
MONDO:0012371	194	4
MONDO:0008213	197	4
MONDO:0018114	199	4
MONDO:0000437	201	4
MONDO:0015074	203	4
MONDO:0011894	204	4
MONDO:0010995	205	4
MONDO:0005244	207	4
MONDO:0013900	213	4
MONDO:0011038	214	4
MONDO:0007496	215	4
MONDO:0003441	217	4
MONDO:0000483	218	4
MONDO:0001170	221	4
MONDO:0044843	223	4
MONDO:0001734	226	4
MONDO:0019341	226	4
MONDO:0008612	227	4
MONDO:0006123	228	4
MONDO:0006499	229	4
MONDO:0007365	233	4
MONDO:0021320	238	4
MONDO:0016063	239	4
MONDO:0010632	240	4
MONDO:0014470	242	4
MONDO:0013826	243	4
MONDO:0009079	244	4
MONDO:0011506	245	4
MONDO:0014133	246	4
MONDO:0012014	247	4
MONDO:0008961	249	4
MONDO:0001824	250	4
MONDO:0002321	251	4
MONDO:0015626	255	4
MONDO:0005365	257	4
MONDO:0004971	262	4
MONDO:0020678	264	4
MONDO:0005075	266	4
MONDO:0015280	269	4
MONDO:0005401	270	4
MONDO:0011719	272	4
MONDO:0007154	274	4
MONDO:0005575	277	4
MONDO:0019004	278	4
MONDO:0016684	289	4
MONDO:0016690	290	4
MONDO:0016225	292	4
MONDO:0014639	293	4
MONDO:0009760	294	4
MONDO:0008840	296	4
MONDO:0007794	301	4
MONDO:0003608	304	4
MONDO:0005420	305	4
MONDO:0005510	306	4
MONDO:0005586	307	4
MONDO:0024535	311	4
MONDO:0014367	312	4
MONDO:0022236	313	4
MONDO:0013387	317	4
MONDO:0018975	320	4
MONDO:0003235	323	4
MONDO:0008078	325	4
MONDO:0008672	326	4
MONDO:0011035	327	4
MONDO:0005129	328	4
MONDO:0005021	332	4
MONDO:0004994	334	4
MONDO:0018993	335	4
MONDO:0015967	336	4
MONDO:0004323	340	4
MONDO:0018666	347	4
MONDO:0004970	348	4
MONDO:0020560	349	4
MONDO:0011053	352	4
MONDO:0015459	355	4
MONDO:0010717	356	4
MONDO:0006040	357	4
MONDO:0020164	358	4
MONDO:0000087	364	4
MONDO:0012703	368	4
MONDO:0010472	373	4
MONDO:0013656	375	4
MONDO:0013634	376	4
MONDO:0012476	377	4
MONDO:0032888	381	4
MONDO:0001150	383	4
MONDO:0020643	385	4
MONDO:0014602	387	4
MONDO:0020630	389	4
MONDO:0003432	390	4
MONDO:0014957	392	4
MONDO:0014953	393	4
MONDO:0008752	395	4
MONDO:0032768	396	4
MONDO:0016054	398	4
MONDO:0014709	403	4
MONDO:0013930	404	4
MONDO:0013931	405	4
MONDO:0019234	406	4
MONDO:0016755	408	4
MONDO:0001384	412	4
MONDO:0009637	417	4
MONDO:0019200	421	4
MONDO:0012848	422	4
MONDO:0009938	425	4
MONDO:0013186	426	4
MONDO:0013767	427	4
MONDO:0005192	428	4
MONDO:0010725	431	4
MONDO:0000455	432	4
MONDO:0016293	433	4
MONDO:0004588	436	4
MONDO:0009022	443	4
MONDO:0020121	445	4
MONDO:0016971	448	4
