mlo	id_mlo
Nucleolus	1
Stress granule	2
Postsynaptic density	3
P-body	4
null_phasepdb_ht	5
Centrosome/Spindle pole body	6
Nuclear speckle	7
PML nuclear body	8
Others	9
Paraspeckle	10
Droplet	11
Cajal body	12
null_phasepdb_rev	13
Mitochondrial RNA granule	14
RNP granules	15
Sam68 nuclear body	16
Nuclear pore complex	17
Histone locus body	18
Spindle apparatus	19
PcG body	20
cytoplasmic stress granule	21
DNA damage foci	22
Gemini of cajal body	23
Nuclear body	24
Transcription Factories	25
nuclear protein granule	26
Pre and postsynaptic density	27
OPT domain	28
Neuronal granule	29
Nuclear stress body	30
Cytoplasmic ribonucleoprotein granule	31
Membrane cluster	32
TCR signalosome	33
LAT signalosome	34
Receptor cluster	35
Chromatoid body	36
Gem	37
neuronal ribonucleoprotein granule	38
miRISC	39
enhanceosome	40
Spindle pole	41
Polycomb body	42
cytoplasmic protein granule	43
Heterochromatin	44
Arp2/3 protein complex	45
Signaling puncta	46
GW-body	47
Cleavage body	48
Microtubule	49
actin cortical patch	50
nuclear bodies that occur at super enhancers in mESCs	51
RISC complex	52
Nuclear Compartments	53
Neuronal inclusions	54
presynaptic cytosol	55
SPOP/DAXX body	56
a matrix holding together clusters of synaptic vesicles (SVs)	57
null_phasepdb_uniprot	58
DDX1 body	59
Centrosome	60
ribonucleoprotein complex	61
robustly E2-activated enhancers (MegaTrans) enhancers	62
P granule	63
micro-ribonucleoprotein complex	64
Balbiani body	65
Pericentriolar matrix	66
POLII clusters	67
SMN granule	68
galectin complex	69
inclusion body	70
p62 body	71
RNA polymerase II	72
intracellular DNA/protein granule	73
collagen-containing extracellular matrix	74
cGAS foci	75
synaptosome	76
neuron projection	77
Inflammasome	78
liquid-like DYRK3 speckles	79
Z granule	80
PcG chromatin condensates	81
MORC3-NBs	82
holoenzyme	83
Perinucleolar compartment	84
nuclear pore central transport channel	85
extracellular matrix	86
pi-body	87
cytoplasmic microtubule	88
galectin lattice	89
Cytoplasmic granule	90
granular component	91
U body	92
euchromatin	93
TAU protein	94
condensed compartments of microtubule bundling	95
TIS granule	96
Nuage	97
PcG protein complex	98
selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel	99
