id_protein	id_mlo	id_rol	id_dataset
1		3	2
2	3.0	3	1
3	4.0	1	1
3	4.0	2	3
4	3.0	1	1
4	3.0	2	2
4	4.0	1	1
5	2.0	1	1
5	1.0	1	1
6	1.0	1	1
7	2.0	1	1
8	3.0	1	1
8	3.0	2	2
9	3.0	1	1
10	4.0	1	1
10	4.0	2	3
10	3.0	2	2
10	4.0	2	2
10	3.0	1	1
11	1.0	1	1
12	4.0	2	3
13		3	2
14	1.0	1	1
15	1.0	2	3
16	2.0	1	1
17	2.0	1	1
18	3.0	1	1
18	4.0	2	3
18	3.0	2	2
18	4.0	2	2
18	4.0	1	1
19	4.0	3	1
19	3.0	3	1
20	3.0	1	1
21	2.0	1	1
22	2.0	1	1
23	3.0	1	1
24	2.0	1	1
25	1.0	2	2
25	1.0	1	1
26	4.0	3	1
27	3.0	1	1
28	5.0	1	1
29	3.0	1	1
30	2.0	1	1
31	4.0	2	2
32	14.0	2	3
33	5.0	1	1
34	3.0	1	1
35	4.0	1	1
36	3.0	2	2
36	3.0	1	1
36	4.0	1	1
36	3.0	2	3
37	1.0	1	1
38	1.0	1	1
39	7.0	2	2
40	1.0	2	3
41	2.0	1	1
41	5.0	1	1
42		3	2
43	3.0	1	1
43	1.0	2	2
43	1.0	1	1
44	3.0	1	1
45	4.0	2	2
45	4.0	1	1
45	2.0	1	1
46	2.0	1	1
47	4.0	2	3
47	4.0	3	1
48	2.0	1	1
49	2.0	1	1
49	1.0	1	1
50	2.0	1	1
51	2.0	1	1
52	1.0	1	1
53	2.0	1	1
54		3	2
55	18.0	1	1
55	6.0	2	3
56	1.0	1	1
57	2.0	1	1
58	1.0	1	1
59	3.0	1	1
60	2.0	1	1
61		3	2
62	2.0	1	1
63	40.0	4	5
63	26.0	2	4
63	47.0	4	5
63	26.0	4	5
63	2.0	4	1
63	10.0	4	1
64	2.0	1	1
64		3	2
65	10.0	3	1
65	1.0	3	1
65	2.0	3	1
66	4.0	2	2
66	12.0	1	1
67	1.0	1	1
67	1.0	2	2
67	6.0	2	3
68	4.0	2	2
68	3.0	1	1
68		3	2
68	4.0	1	1
68	3.0	2	2
69	2.0	1	1
70	3.0	1	1
71	3.0	3	1
72		3	2
72	1.0	1	1
73	2.0	1	1
74	5.0	1	1
75	2.0	1	1
76	2.0	1	1
77	2.0	1	1
78	2.0	1	1
79	3.0	2	2
79	3.0	1	1
79	1.0	2	2
79	1.0	1	1
80		3	2
81	2.0	1	1
82	5.0	1	1
83	2.0	1	1
84	1.0	2	2
84	1.0	1	1
84	4.0	2	2
84	4.0	1	1
85	2.0	1	1
86	1.0	1	1
86	1.0	2	3
86	1.0	2	2
87	1.0	2	3
87	1.0	1	1
87	4.0	1	1
87	4.0	2	2
87	11.0	1	1
87	1.0	2	2
88	10.0	4	1
88	1.0	4	1
88	4.0	4	1
88	3.0	4	1
88	55.0	2	4
88	2.0	4	1
88	3.0	2	2
88	4.0	2	2
88	19.0	4	5
88	3.0	2	4
88	1.0	2	2
89	4.0	1	1
90	3.0	3	1
91		3	2
92	1.0	1	1
93	3.0	1	1
93	1.0	1	1
93	1.0	2	2
94		3	2
94	1.0	1	1
95	1.0	1	1
95	2.0	1	1
95		3	2
96		3	2
97		3	2
98	2.0	1	1
98		3	2
99	3.0	3	1
100	2.0	1	1
101		3	2
102		3	2
102	2.0	1	1
103	3.0	3	1
104	2.0	1	1
105		3	2
106	2.0	1	1
107	2.0	1	1
108	5.0	1	1
108	2.0	1	1
109	2.0	1	1
109	3.0	1	1
110	2.0	1	1
111	1.0	1	1
112	1.0	1	1
112	2.0	1	1
113	2.0	1	1
114	3.0	2	4
115	3.0	1	1
116	3.0	1	1
116	4.0	1	1
117		3	2
118	2.0	1	1
119	4.0	2	2
119	4.0	3	1
119	3.0	3	1
119	2.0	3	1
120	11.0	3	1
120	1.0	2	3
120		3	2
120	3.0	3	1
120	8.0	3	1
121		3	2
121	5.0	1	1
122	2.0	1	1
123	2.0	1	1
124	1.0	2	2
124	1.0	1	1
125	5.0	1	1
126	3.0	2	2
126	4.0	1	1
126	3.0	1	1
127	1.0	1	1
128	2.0	1	1
129	1.0	2	2
129	1.0	1	1
130	2.0	1	1
131		3	2
132		3	2
133		3	2
134		3	2
134	2.0	1	1
135		3	2
135	21.0	3	1
136	2.0	3	1
136	3.0	3	1
137	2.0	1	1
138	5.0	1	1
139	1.0	1	1
140	2.0	1	1
140		3	2
141	2.0	1	1
142	2.0	1	1
142		3	2
143	8.0	1	1
143		3	2
143	5.0	1	1
143	10.0	1	1
144	3.0	3	1
144	2.0	3	1
144		3	2
145	2.0	1	1
146	5.0	1	1
147	10.0	4	1
147	1.0	4	1
147	3.0	2	2
147	3.0	4	1
147		2	4
147	1.0	2	2
147	4.0	2	2
148	2.0	4	1
148	5.0	4	1
148	10.0	4	1
148	1.0	4	1
148	1.0	2	2
148	7.0	4	1
148	6.0	4	1
148	11.0	4	1
149	3.0	3	1
149	2.0	3	1
150	2.0	1	1
151	5.0	1	1
152	2.0	1	1
153		3	2
154	2.0	1	1
155	6.0	1	1
156	6.0	2	3
157	1.0	2	3
158		3	2
159	4.0	2	2
159	3.0	1	1
159	4.0	1	1
160	5.0	1	1
161		3	2
161	3.0	1	1
161	3.0	2	2
162	2.0	1	1
162		3	2
163	5.0	1	1
164	2.0	1	1
165	2.0	1	1
166	12.0	1	1
167	5.0	1	1
168	3.0	3	1
168	4.0	3	1
168	3.0	2	2
168	4.0	2	2
168	4.0	2	4
169	3.0	1	1
170	3.0	1	1
170	1.0	2	2
170	1.0	1	1
170	5.0	1	1
171	1.0	1	1
171	1.0	2	2
171	2.0	1	1
172	1.0	2	2
172	2.0	1	1
172	1.0	1	1
173	1.0	2	2
173	1.0	1	1
174		2	4
174	8.0	4	1
175	1.0	1	1
176	5.0	1	1
177	1.0	1	1
178	1.0	1	1
179	1.0	2	2
179	1.0	2	3
179	1.0	1	1
180	1.0	1	1
181	3.0	1	1
181	1.0	1	1
181	1.0	2	2
181	4.0	2	2
181	3.0	2	2
181	4.0	1	1
182	2.0	1	1
183	3.0	2	3
183	4.0	2	2
183	6.0	2	3
183	6.0	3	1
183	3.0	3	1
183	3.0	2	2
183	4.0	3	1
184	2.0	1	1
185	1.0	1	1
186		3	2
187	3.0	3	1
188	2.0	3	1
188	3.0	3	1
189		3	2
190		3	2
191	1.0	1	1
191	3.0	1	1
192	7.0	1	1
193		3	2
194	5.0	1	1
195	3.0	3	1
195	3.0	2	2
196	3.0	1	1
196	3.0	2	2
197	1.0	1	1
197	1.0	2	3
197	1.0	2	2
198	5.0	1	1
199	2.0	1	1
200	3.0	1	1
201	2.0	1	1
202	2.0	1	1
203	1.0	1	1
203	1.0	2	2
203	1.0	2	3
204	1.0	1	1
204	1.0	2	2
205	7.0	1	1
205	2.0	1	1
206	3.0	3	1
207	3.0	2	2
207	3.0	1	1
208	5.0	1	1
209	6.0	1	1
209	6.0	2	3
209	5.0	1	1
209	3.0	1	1
210		3	2
211	8.0	1	1
212	2.0	1	1
213	1.0	2	4
214	1.0	1	1
214	4.0	1	1
214	4.0	2	2
214	1.0	2	2
215		3	2
216	1.0	2	2
216	1.0	1	1
216		3	2
217	1.0	2	2
217	1.0	1	1
217		3	2
218	1.0	1	1
218	2.0	1	1
219	2.0	1	1
219	5.0	1	1
220	5.0	1	1
221	8.0	1	1
221	3.0	1	1
222		3	2
223		3	2
224	5.0	1	1
224		3	2
225	2.0	1	1
226	2.0	1	1
227	3.0	1	1
227	5.0	1	1
227	3.0	2	2
228	4.0	2	2
229	7.0	2	2
229	7.0	1	1
230	20.0	1	1
231	1.0	1	1
232	3.0	2	2
232	3.0	3	1
