reviewed	id_protein	id_mlo	id_rol	id_dataset	id_proteinmlo
lt	1	1.0	1.0	3	1
	1	59.0	1.0	2	2
	1	47.0	1.0	2	3
	1	18.0	1.0	2	4
	1	16.0	1.0	2	5
	1	24.0	1.0	2	6
	1	60.0	1.0	2	7
	1	61.0	1.0	2	8
	1	58.0	1.0	2	9
lt	1		1.0	1	10
ht	1	16.0		1	11
ht	1	18.0		1	12
ht	1	60.0		1	13
ht	1	39.0		1	14
lt	1	16.0		1	15
lt	1	68.0	1.0	1	16
lt	1	16.0	1.0	1	17
ht	1	101.0		1	18
	1	57.0	1.0	2	19
lt	1	60.0	1.0	1	20
lt	1	2.0	1.0	3	21
lt	2	1.0	1.0	3	22
lt	2	65.0		1	23
lt	2	60.0		1	24
ht	2	18.0		1	25
ht	2	54.0		1	26
lt	2	5.0	1.0	3	27
lt	2	3.0	1.0	3	28
lt	2	2.0	1.0	3	29
ht	2	24.0		1	30
lt	2	4.0	1.0	3	31
ht	2	60.0		1	32
	2	61.0	1.0	2	33
	2	60.0	1.0	2	34
	2	24.0	1.0	2	35
	2	68.0	1.0	2	36
	2	65.0	1.0	2	37
	2	57.0	1.0	2	38
lt	2	68.0	1.0	1	39
lt	2		1.0	1	40
lt	2	60.0	1.0	1	41
lt	3	6.0	1.0	3	42
lt	3	16.0		1	43
lt	3	90.0	1.0	1	44
lt	3		1.0	1	45
lt	3	60.0		1	46
ht	3	16.0		1	47
ht	3	18.0		1	48
ht	3	60.0		1	49
	3	60.0	1.0	2	50
	3	18.0	1.0	2	51
	3	57.0	1.0	2	52
	4	60.0	1.0	2	53
	4	24.0	1.0	2	54
	4	59.0	1.0	2	55
lt	4	1.0	1.0	3	56
	4	65.0	1.0	2	57
	4	57.0	1.0	2	58
	4	61.0	1.0	2	59
	4	16.0	1.0	2	60
lt	4	2.0	1.0	3	61
lt	4	16.0		1	62
ht	4	60.0		1	63
lt	4	60.0		1	64
lt	4	68.0	1.0	1	65
lt	4	18.0	1.0	1	66
lt	4	60.0	1.0	1	67
lt	4	16.0	1.0	1	68
ht	4	16.0		1	69
lt	4		1.0	1	70
ht	4	65.0		1	71
lt	4	83.0	1.0	1	72
	5	57.0	1.0	2	73
ht	5	102.0		1	74
lt	5	16.0		1	75
lt	5	47.0		1	76
	5	18.0	1.0	2	77
ht	5	39.0		1	78
ht	5	18.0		1	79
	5	63.0	1.0	2	80
lt	5		1.0	1	81
ht	5	16.0		1	82
lt	5	6.0	1.0	3	83
	5	60.0	1.0	2	84
ht	5	60.0		1	85
lt	6		1.0	1	86
lt	6	60.0	1.0	1	87
lt	6	60.0		1	88
ht	6	60.0		1	89
ht	6	18.0		1	90
lt	6	1.0	1.0	3	91
	6	24.0	1.0	2	92
	6	61.0	1.0	2	93
	6	57.0	1.0	2	94
	6	60.0	1.0	2	95
	7	61.0	1.0	2	96
	7	57.0	1.0	2	97
lt	7		1.0	1	98
lt	7	79.0	1.0	1	99
lt	7	9.0	1.0	3	100
lt	7	7.0	1.0	3	101
lt	7	8.0	1.0	3	102
	8	55.0	1.0	2	103
	8	57.0	1.0	2	104
lt	8	79.0	1.0	1	105
ht	8	18.0		1	106
lt	8	8.0	1.0	3	107
lt	8	7.0	1.0	3	108
lt	8	9.0	1.0	3	109
lt	9	54.0	1.0	1	110
lt	9	55.0	1.0	1	111
lt	9	9.0	1.0	3	112
lt	9	7.0	1.0	3	113
lt	9	8.0	1.0	3	114
	9	57.0	1.0	2	115
