uniprot,organism,mlo,rol,db
P35637,Homo sapiens,cytoplasmic stress granule,driver,phasepro
P35637,Homo sapiens,cytoplasmic ribonucleoprotein granule,driver,phasepro
Q06787,Homo sapiens,cytoplasmic stress granule,driver,phasepro
Q06787,Homo sapiens,cytoplasmic ribonucleoprotein granule,driver,phasepro
Q06787,Homo sapiens,"synaptosome, neuron projection",driver,phasepro
Q06787,Homo sapiens,neuronal ribonucleoprotein granule,driver,phasepro
Q92804,Homo sapiens,nuclear protein granule,driver,phasepro
Q13148,Homo sapiens,cytoplasmic stress granule,driver,phasepro
Q13148,Homo sapiens,cytoplasmic ribonucleoprotein granule,driver,phasepro
Q01844,Homo sapiens,nuclear protein granule,driver,phasepro
P09651,Homo sapiens,cytoplasmic stress granule,driver,phasepro
P22626,Homo sapiens,cytoplasmic stress granule,driver,phasepro
P22626,Homo sapiens,cytoplasmic ribonucleoprotein granule,driver,phasepro
P31483,Homo sapiens,cytoplasmic stress granule,driver,phasepro
O60500,Homo sapiens,membrane cluster,driver,phasepro
O60500,Homo sapiens,actin cortical patch,driver,phasepro
O60500,Homo sapiens,Arp2/3 protein complex,driver,phasepro
O00401,Homo sapiens,membrane cluster,driver,phasepro
O00401,Homo sapiens,actin cortical patch,driver,phasepro
O00401,Homo sapiens,Arp2/3 protein complex,driver,phasepro
P16333,Homo sapiens,membrane cluster,driver,phasepro
P16333,Homo sapiens,actin cortical patch,driver,phasepro
P16333,Homo sapiens,Arp2/3 protein complex,driver,phasepro
Q9NQI0,Homo sapiens,P granule,driver,phasepro
Q9NQI0,Homo sapiens,pi-body,driver,phasepro
O00571,Homo sapiens,cytoplasmic stress granule,driver,phasepro
P52948,Homo sapiens,nuclear pore central transport channel,driver,phasepro
P52948,Homo sapiens,selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,driver,phasepro
P15502,Homo sapiens,extracellular matrix,driver,phasepro
P15502,Homo sapiens,collagen-containing extracellular matrix,driver,phasepro
Q96PK6,Homo sapiens,paraspeckle,driver,phasepro
P45973,Homo sapiens,heterochromatin,driver,phasepro
P06748,Homo sapiens,nucleolus,driver,phasepro
P06748,Homo sapiens,granular component,driver,phasepro
Q9UHD9,Homo sapiens,cytoplasmic stress granule,driver,phasepro
Q16082,Homo sapiens,cytoplasmic protein granule,driver,phasepro
Q16082,Homo sapiens,nuclear protein granule,driver,phasepro
P10636,Homo sapiens,cytoplasmic microtubule,driver,phasepro
P10636,Homo sapiens,condensed compartments of microtubule bundling,driver,phasepro
Q9UPQ9,Homo sapiens,RISC complex,driver,phasepro
Q9UPQ9,Homo sapiens,P-body,driver,phasepro
Q9UPQ9,Homo sapiens,micro-ribonucleoprotein complex,driver,phasepro
Q9UPQ9,Homo sapiens,miRISC,driver,phasepro
Q9UPQ9,Homo sapiens,GW-body,driver,phasepro
P17931,Homo sapiens,galectin complex,driver,phasepro
P17931,Homo sapiens,galectin lattice,driver,phasepro
Q13501,Homo sapiens,inclusion body,driver,phasepro
Q13501,Homo sapiens,p62 body,driver,phasepro
