uniprot,mlo,db,rol,reviewed
P35637,cytoplasmic stress granule,phasepro,driver,lt
P35637,cytoplasmic ribonucleoprotein granule,phasepro,driver,lt
Q06787,cytoplasmic stress granule,phasepro,driver,lt
Q06787,cytoplasmic ribonucleoprotein granule,phasepro,driver,lt
Q06787,"synaptosome, neuron projection",phasepro,driver,lt
Q06787,neuronal ribonucleoprotein granule,phasepro,driver,lt
Q92804,nuclear protein granule,phasepro,driver,lt
Q13148,cytoplasmic stress granule,phasepro,driver,lt
Q13148,cytoplasmic ribonucleoprotein granule,phasepro,driver,lt
Q01844,nuclear protein granule,phasepro,driver,lt
P09651,cytoplasmic stress granule,phasepro,driver,lt
P22626,cytoplasmic stress granule,phasepro,driver,lt
P22626,cytoplasmic ribonucleoprotein granule,phasepro,driver,lt
P31483,cytoplasmic stress granule,phasepro,driver,lt
O60500,membrane cluster,phasepro,driver,lt
O60500,actin cortical patch,phasepro,driver,lt
O60500,Arp2/3 protein complex,phasepro,driver,lt
O00401,membrane cluster,phasepro,driver,lt
O00401,actin cortical patch,phasepro,driver,lt
O00401,Arp2/3 protein complex,phasepro,driver,lt
P16333,membrane cluster,phasepro,driver,lt
P16333,actin cortical patch,phasepro,driver,lt
P16333,Arp2/3 protein complex,phasepro,driver,lt
Q9NQI0,P granule,phasepro,driver,lt
Q9NQI0,pi-body,phasepro,driver,lt
O00571,cytoplasmic stress granule,phasepro,driver,lt
P52948,nuclear pore central transport channel,phasepro,driver,lt
P52948,selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,phasepro,driver,lt
P15502,extracellular matrix,phasepro,driver,lt
P15502,collagen-containing extracellular matrix,phasepro,driver,lt
Q96PK6,paraspeckle,phasepro,driver,lt
P45973,heterochromatin,phasepro,driver,lt
P06748,nucleolus,phasepro,driver,lt
P06748,granular component,phasepro,driver,lt
Q9UHD9,cytoplasmic stress granule,phasepro,driver,lt
Q16082,cytoplasmic protein granule,phasepro,driver,lt
Q16082,nuclear protein granule,phasepro,driver,lt
P10636,cytoplasmic microtubule,phasepro,driver,lt
P10636,condensed compartments of microtubule bundling,phasepro,driver,lt
Q9UPQ9,RISC complex,phasepro,driver,lt
Q9UPQ9,P-body,phasepro,driver,lt
Q9UPQ9,micro-ribonucleoprotein complex,phasepro,driver,lt
Q9UPQ9,miRISC,phasepro,driver,lt
Q9UPQ9,GW-body,phasepro,driver,lt
P17931,galectin complex,phasepro,driver,lt
P17931,galectin lattice,phasepro,driver,lt
Q13501,inclusion body,phasepro,driver,lt
Q13501,p62 body,phasepro,driver,lt
O43561,TCR signalosome,phasepro,driver,lt
O43561,LAT signalosome,phasepro,driver,lt
P62993,TCR signalosome,phasepro,driver,lt
P62993,LAT signalosome,phasepro,driver,lt
Q07889,TCR signalosome,phasepro,driver,lt
Q07889,LAT signalosome,phasepro,driver,lt
Q15233,paraspeckle,phasepro,driver,lt
P23246,paraspeckle,phasepro,driver,lt
P17600,presynaptic cytosol,phasepro,driver,lt
P17600,a matrix holding together clusters of synaptic vesicles (SVs),phasepro,driver,lt
Q8N884,intracellular DNA/protein granule,phasepro,driver,lt
Q8N884,cGAS foci,phasepro,driver,lt
Q15648,enhanceosome,phasepro,driver,lt
Q15648,nuclear body,phasepro,driver,lt
Q15648,nuclear bodies that occur at super enhancers in mESCs,phasepro,driver,lt
O60885,enhanceosome,phasepro,driver,lt
O60885,nuclear body,phasepro,driver,lt
O60885,nuclear bodies that occur at super enhancers in mESCs,phasepro,driver,lt
Q07666,nuclear body,phasepro,driver,lt
Q07666,ribonucleoprotein complex,phasepro,driver,lt
Q07666,Sam68 nuclear bodies (SNBs),phasepro,driver,lt
Q14103,nuclear body,phasepro,driver,lt
Q14103,ribonucleoprotein complex,phasepro,driver,lt
Q14103,Sam68 nuclear bodies (SNBs),phasepro,driver,lt
O43791,nuclear body,phasepro,driver,lt
O43791,nuclear protein granule,phasepro,driver,lt
O43791,SPOP/DAXX body,phasepro,driver,lt
Q9UER7,nuclear body,phasepro,driver,lt
Q9UER7,nuclear protein granule,phasepro,driver,lt
Q9UER7,SPOP/DAXX body,phasepro,driver,lt
P24928,"RNA polymerase II, holoenzyme",phasepro,driver,lt
P24928,POLII clusters,phasepro,driver,lt
O60563,nuclear speckle,phasepro,driver,lt
Q13627,nuclear speckle,phasepro,driver,lt
P04156,cytoplasmic protein granule,phasepro,driver,lt
P05067,cytoplasmic protein granule,phasepro,driver,lt
Q14781,PcG protein complex,phasepro,driver,lt
Q14781,euchromatin,phasepro,driver,lt
Q14781,heterochromatin,phasepro,driver,lt
Q14781,PcG chromatin condensates,phasepro,driver,lt
Q07352,cytoplasmic ribonucleoprotein granule,phasepro,driver,lt
Q07352,TIS granule,phasepro,driver,lt
P23771,enhanceosome,phasepro,driver,lt
P23771,nuclear body,phasepro,driver,lt
P23771,robustly E2-activated enhancers (MegaTrans) enhancers,phasepro,driver,lt
P03372,enhanceosome,phasepro,driver,lt
P03372,nuclear body,phasepro,driver,lt
P03372,robustly E2-activated enhancers (MegaTrans) enhancers,phasepro,driver,lt
O43781,cytoplasmic stress granule,phasepro,driver,lt
O43781,liquid-like DYRK3 speckles,phasepro,driver,lt
Q92777,presynaptic cytosol,phasepro,driver,lt
Q92777,a matrix holding together clusters of synaptic vesicles (SVs),phasepro,driver,lt
P29590,PML body,phasepro,driver,lt
P78352,postsynaptic density,phasepro,driver,lt
Q9UKV8,RISC complex,phasepro,driver,lt
Q9UKV8,P-body,phasepro,driver,lt
Q9UKV8,micro-ribonucleoprotein complex,phasepro,driver,lt
