uniprot_acc	mlo	rol	db
P35637	cytoplasmic stress granule	driver	phasepro
P35637	Cytoplasmic ribonucleoprotein granule	driver	phasepro
Q06787	cytoplasmic stress granule	driver	phasepro
Q06787	Cytoplasmic ribonucleoprotein granule	driver	phasepro
Q06787	synaptosome	driver	phasepro
Q06787	neuron projection	driver	phasepro
Q06787	neuronal ribonucleoprotein granule	driver	phasepro
Q92804	nuclear protein granule	driver	phasepro
Q13148	cytoplasmic stress granule	driver	phasepro
Q13148	Cytoplasmic ribonucleoprotein granule	driver	phasepro
Q01844	nuclear protein granule	driver	phasepro
P09651	cytoplasmic stress granule	driver	phasepro
P22626	cytoplasmic stress granule	driver	phasepro
P22626	Cytoplasmic ribonucleoprotein granule	driver	phasepro
P31483	cytoplasmic stress granule	driver	phasepro
O60500	Membrane cluster	driver	phasepro
O60500	actin cortical patch	driver	phasepro
O60500	Arp2/3 protein complex	driver	phasepro
O00401	Membrane cluster	driver	phasepro
O00401	actin cortical patch	driver	phasepro
O00401	Arp2/3 protein complex	driver	phasepro
P16333	Membrane cluster	driver	phasepro
P16333	actin cortical patch	driver	phasepro
P16333	Arp2/3 protein complex	driver	phasepro
Q9NQI0	P granule	driver	phasepro
Q9NQI0	pi-body	driver	phasepro
O00571	cytoplasmic stress granule	driver	phasepro
P52948	nuclear pore central transport channel	driver	phasepro
P52948	selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel	driver	phasepro
P15502	extracellular matrix	driver	phasepro
P15502	collagen-containing extracellular matrix	driver	phasepro
Q96PK6	Paraspeckle	driver	phasepro
P45973	Heterochromatin	driver	phasepro
P06748	Nucleolus	driver	phasepro
P06748	granular component	driver	phasepro
Q9UHD9	cytoplasmic stress granule	driver	phasepro
Q16082	cytoplasmic protein granule	driver	phasepro
Q16082	nuclear protein granule	driver	phasepro
P10636	cytoplasmic microtubule	driver	phasepro
P10636	condensed compartments of microtubule bundling	driver	phasepro
Q9UPQ9	RISC complex	driver	phasepro
Q9UPQ9	P-body	driver	phasepro
Q9UPQ9	micro-ribonucleoprotein complex	driver	phasepro
Q9UPQ9	miRISC	driver	phasepro
Q9UPQ9	GW-body	driver	phasepro
P17931	galectin complex	driver	phasepro
P17931	galectin lattice	driver	phasepro
Q13501	inclusion body	driver	phasepro
Q13501	p62 body	driver	phasepro
O43561	TCR signalosome	driver	phasepro
O43561	LAT signalosome	driver	phasepro
P62993	TCR signalosome	driver	phasepro
P62993	LAT signalosome	driver	phasepro
Q07889	TCR signalosome	driver	phasepro
Q07889	LAT signalosome	driver	phasepro
Q15233	Paraspeckle	driver	phasepro
P23246	Paraspeckle	driver	phasepro
P17600	presynaptic cytosol	driver	phasepro
P17600	a matrix holding together clusters of synaptic vesicles (SVs)	driver	phasepro
Q8N884	intracellular DNA/protein granule	driver	phasepro
Q8N884	cGAS foci	driver	phasepro
Q15648	enhanceosome	driver	phasepro
Q15648	Nuclear body	driver	phasepro
Q15648	nuclear bodies that occur at super enhancers in mESCs	driver	phasepro
O60885	enhanceosome	driver	phasepro
O60885	Nuclear body	driver	phasepro
O60885	nuclear bodies that occur at super enhancers in mESCs	driver	phasepro
Q07666	Nuclear body	driver	phasepro
Q07666	ribonucleoprotein complex	driver	phasepro
Q07666	Sam68 nuclear body	driver	phasepro
Q14103	Nuclear body	driver	phasepro
Q14103	ribonucleoprotein complex	driver	phasepro
Q14103	Sam68 nuclear body	driver	phasepro
O43791	Nuclear body	driver	phasepro
O43791	nuclear protein granule	driver	phasepro
O43791	SPOP/DAXX body	driver	phasepro
Q9UER7	Nuclear body	driver	phasepro
Q9UER7	nuclear protein granule	driver	phasepro
