id_mutation	id_idr
35995	7538
35996	7538
35997	7538
35998	7540
35999	7538
36000	7539
36003	7539
36004	7540
36005	7538
36006	7538
36007	7540
36008	7538
36009	7538
36010	7538
36011	7538
36012	7538
36013	7538
36014	7538
36015	7538
36016	7540
36017	7538
36018	7538
36019	7540
36020	7538
36021	7538
36022	7538
36023	7540
36024	7538
36025	7538
61586	7538
61587	7538
61588	7538
61589	7539
61590	7538
61591	7538
61592	7538
63347	7538
63348	7538
63349	7538
76640	7540
76641	7540
76642	7540
76643	7540
82444	7540
168323	7540
168324	7540
168325	7540
168326	7540
168327	7540
168328	7540
168329	7538
168330	7540
168331	7538
168333	7540
168334	7540
168335	7538
168336	7539
168337	7539
168338	7539
168339	7538
168340	7540
168341	7540
168342	7538
168343	7538
168344	7540
168345	7539
168347	7538
168348	7538
168349	7538
168350	7540
168351	7540
168352	7539
168353	7540
168354	7538
168355	7538
168356	7538
168357	7538
168358	7538
168359	7538
168360	7540
168361	7538
168362	7540
168363	7540
168364	7540
168365	7538
168366	7538
168367	7538
168368	7538
168369	7538
168370	7540
168371	7540
168372	7538
168373	7538
168374	7538
217975	7540
217977	7538
217978	7540
221015	7538
543655	7538
543656	7538
543658	7538
543659	7538
543660	7540
543661	7538
543662	7538
543663	7538
543664	7538
543666	7540
543667	7538
543668	7538
543670	7538
543671	7540
543672	7538
543673	7540
543674	7539
543675	7538
543676	7538
543677	7539
543678	7538
543679	7538
543680	7540
543681	7540
543682	7538
543685	7538
543687	7538
543688	7539
543689	7540
543690	7538
543692	7538
543693	7538
543694	7539
543695	7539
543696	7538
543697	7539
543698	7538
543699	7539
556180	7538
556181	7538
556182	7538
556183	7538
556184	7540
556185	7538
558020	7538
559193	7538
605485	7540
605486	7540
605487	7538
605488	7538
605489	7538
605490	7538
1555243	7538
1555244	7538
1555245	7538
1555246	7540
1555247	7539
1555248	7538
1555249	7538
1555251	7540
1555252	7540
1555253	7539
1555255	7540
1555257	7538
1555259	7538
1555260	7538
1555264	7538
1555265	7538
1555266	7539
1555267	7538
1555269	7540
1555270	7538
1555271	7538
1555272	7538
1555273	7540
1555274	7538
1555275	7538
1555277	7539
1555278	7539
1555279	7538
1555282	7538
1555284	7538
1555285	7538
1555286	7540
1555287	7538
1555288	7538
1555290	7540
1555292	7538
1555294	7540
1555295	7538
1555296	7538
1555297	7538
