start	end	id_lc	length	id_protein
236	243	1	8	1602
234	244	6	11	1665
245	244	7	0	1665
4	13	12	10	2100
36	55	13	20	2100
247	262	14	16	1957
413	429	15	17	1957
8	20	16	13	1106
275	285	19	11	1741
74	89	38	16	779
91	115	39	25	779
599	612	40	14	779
671	691	41	21	779
788	806	42	19	779
96	103	43	8	1990
143	162	44	20	3717
169	200	45	32	3717
345	356	46	12	3717
540	551	47	12	3717
619	632	48	14	3717
679	687	49	9	3717
707	722	50	16	3717
733	753	51	21	3717
807	820	52	14	3717
127	138	53	12	691
149	159	54	11	691
182	208	55	27	691
389	412	56	24	691
580	598	57	19	691
148	189	58	42	3208
193	201	59	9	3208
266	277	60	12	3208
548	560	61	13	1379
4	32	62	29	965
73	86	66	14	2717
196	214	67	19	2717
262	282	68	21	2717
587	599	69	13	2717
615	628	70	14	2717
6	20	71	15	580
482	493	72	12	580
939	950	73	12	580
2	18	74	17	632
190	208	75	19	632
222	290	76	69	632
425	452	77	28	632
555	575	78	21	632
699	723	79	25	632
525	545	80	21	3725
12	33	81	22	2276
416	451	82	36	2276
454	502	83	49	2276
524	565	84	42	2276
570	596	85	27	2276
654	671	86	18	2276
746	757	87	12	2276
795	813	88	19	2276
931	944	89	14	2276
34	45	90	12	1931
305	318	91	14	1931
516	535	92	20	1931
511	527	93	17	1484
14	31	99	18	570
11	25	100	15	3770
145	169	101	25	3770
284	300	102	17	3770
359	371	103	13	3770
718	725	104	8	3770
15	33	105	19	1065
2	13	106	12	2820
25	39	107	15	2820
54	104	108	51	2820
116	129	109	14	2820
141	158	110	18	2820
174	188	111	15	2820
199	247	112	49	2820
255	263	113	9	2820
386	404	114	19	2820
420	436	115	17	2820
537	564	116	28	2820
615	623	117	9	2820
666	678	118	13	2820
120	137	119	18	3768
261	271	120	11	3768
276	290	121	15	3768
333	351	122	19	3768
423	435	123	13	3768
457	469	124	13	3768
5	23	139	19	571
249	260	140	12	571
605	616	141	12	571
629	639	142	11	571
701	710	143	10	571
896	915	144	20	571
977	993	145	17	571
20	40	146	21	1266
295	306	147	12	1266
732	750	148	19	1266
876	888	149	13	1266
974	991	150	18	1266
1039	1049	151	11	1266
1140	1154	152	15	1266
278	296	156	19	2450
363	372	157	10	2450
377	397	160	21	1917
190	214	168	25	2389
368	382	169	15	2389
453	473	170	21	2389
503	526	171	24	2389
10	21	185	12	1855
103	113	186	11	1855
533	546	187	14	1855
720	733	188	14	1855
737	754	189	18	1855
770	786	190	17	1855
792	811	191	20	1855
881	909	192	29	1855
930	944	193	15	1855
98	121	194	24	2224
162	190	195	29	2224
220	264	196	45	2224
277	295	197	19	2224
42	63	198	22	463
441	457	199	17	1459
465	475	200	11	1459
10	21	201	12	99
198	210	202	13	3320
7	31	203	25	307
255	266	204	12	1179
272	292	205	21	1179
386	404	206	19	1179
500	520	207	21	1179
671	698	208	28	1179
14	29	209	16	265
117	143	210	27	1205
170	181	211	12	1205
729	760	212	32	3859
793	810	213	18	3859
862	877	214	16	3859
28	39	215	12	344
45	64	216	20	344
96	105	217	10	344
789	816	218	28	344
52	64	224	13	228
94	107	225	14	228
150	174	226	25	228
178	197	227	20	228
208	230	228	23	228
677	691	229	15	228
694	719	230	26	228
836	862	231	27	228
7	19	232	13	1180
570	596	233	27	1180
601	612	234	12	1180
667	721	235	55	1180
729	735	236	7	1180
565	606	237	42	1181
619	645	238	27	1181
689	725	239	37	1181
102	114	240	13	3928
562	582	241	21	3928
589	602	242	14	3928
650	662	243	13	3928
673	703	244	31	3928
2	18	245	17	1511
30	59	250	30	678
152	171	251	20	678
198	219	252	22	678
350	359	253	10	678
135	161	254	27	2211
173	259	255	87	2211
390	403	256	14	2211
114	125	258	12	805
163	183	271	21	1508
876	883	272	8	1508
1309	1318	273	10	1508
1345	1356	274	12	1508
1365	1372	275	8	1508
1386	1392	276	7	1508
1416	1440	277	25	1508
1576	1589	278	14	1508
1595	1649	279	55	1508
1685	1713	280	29	1508
248	267	281	20	1429
420	437	282	18	1429
463	479	283	17	1429
481	509	284	29	1429
712	727	285	16	1429
753	773	286	21	1429
896	928	287	33	1429
979	1032	288	54	1429
1048	1055	289	8	1429
1158	1169	290	12	1429
18	34	291	17	4200
109	122	292	14	4200
252	287	293	36	4200
719	738	294	20	4200
781	794	295	14	4200
4	26	316	23	3209
153	164	317	12	3209
297	310	318	14	3209
466	475	319	10	3209
528	541	320	14	3209
543	550	321	8	3209
561	577	322	17	3209
255	269	323	15	2317
120	134	325	15	3658
3	40	326	38	104
212	230	327	19	104
293	306	328	14	104
319	330	329	12	104
473	484	330	12	104
951	970	331	20	104
989	1000	332	12	104
1015	1026	333	12	104
1090	1114	334	25	104
1384	1440	335	57	104
1547	1558	336	12	104
405	441	337	37	477
579	591	338	13	477
748	759	339	12	477
858	879	340	22	477
1002	1026	341	25	477
1048	1072	342	25	477
1209	1223	343	15	477
1257	1272	344	16	477
1302	1328	345	27	477
1334	1346	346	13	477
1400	1421	347	22	477
1450	1466	348	17	477
25	48	354	24	2401
61	75	355	15	2401
216	231	356	16	2401
258	280	357	23	2401
285	318	358	34	2401
328	342	359	15	2401
370	380	360	11	2401
395	405	361	11	2401
421	449	362	29	2401
494	511	363	18	2401
548	584	364	37	2401
664	688	365	25	2401
