uniprot,pfam_acc,start,end,domain
O94910,PF00002,857,1093,7tm_2
Q9HAR2,PF00002,861,1097,7tm_2
Q5UAW9,PF00002,13,274,7tm_2
O14514,PF00002,944,1180,7tm_2
O75899,PF00003,475,743,7tm_3
Q9NZH0,PF00003,49,291,7tm_3
Q5T848,PF00003,410,666,7tm_3
Q8NFN8,PF00003,44,311,7tm_3
Q9UBS5,PF00003,586,856,7tm_3
P41594,PF00003,573,821,7tm_3
Q14416,PF00003,561,813,7tm_3
P38606,PF00006,230,455,ATP-synt_ab
P06576,PF00006,186,405,ATP-synt_ab
P25705,PF00006,192,415,ATP-synt_ab
P21281,PF00006,173,399,ATP-synt_ab
O00622,PF00007,283,375,Cys_knot
Q00604,PF00007,37,133,Cys_knot
O60841,PF00009,629,844,GTP_EFTU
Q8IYD1,PF00009,201,479,GTP_EFTU
Q96RP9,PF00009,44,319,GTP_EFTU
P41091,PF00009,39,245,GTP_EFTU
Q05639,PF00009,5,238,GTP_EFTU
P15170,PF00009,72,352,GTP_EFTU
P13639,PF00009,17,360,GTP_EFTU
Q15029,PF00009,127,440,GTP_EFTU
P68104,PF00009,5,238,GTP_EFTU
P49411,PF00009,55,249,GTP_EFTU
P01106,PF00010,355,407,HLH
P50539,PF00010,68,120,HLH
Q96HZ4,PF00010,26,77,HLH
Q9BW11,PF00010,58,110,HLH
Q9BRJ9,PF00010,83,137,HLH
P41134,PF00010,66,106,HLH
Q8WVJ9,PF00010,67,118,HLH
Q15672,PF00010,109,160,HLH
Q8IWI9,PF00010,2424,2475,HLH
Q68DE3,PF00010,19,70,HLH
Q9BYE0,PF00010,14,69,HLH
Q96SQ7,PF00010,231,283,HLH
P04198,PF00010,382,434,HLH
Q16559,PF00010,3,55,HLH
O00327,PF00010,73,126,HLH
Q8WYA1,PF00010,108,161,HLH
P81133,PF00010,2,52,HLH
Q14190,PF00010,2,53,HLH
P19484,PF00010,236,289,HLH
P02489,PF00011,63,162,HSP20
Q16082,PF00011,66,163,HSP20
P04792,PF00011,87,184,HSP20
Q9UBY9,PF00011,74,170,HSP20
O14558,PF00011,66,158,HSP20
Q9UJY1,PF00011,93,180,HSP20
Q12988,PF00011,64,150,HSP20
P02511,PF00011,67,162,HSP20
P34932,PF00012,3,607,HSP70
P34932,PF00012,586,691,HSP70
P34931,PF00012,8,614,HSP70
P38646,PF00012,55,653,HSP70
P11021,PF00012,30,636,HSP70
P54652,PF00012,7,615,HSP70
Q92598,PF00012,3,708,HSP70
P0DMV8,PF00012,6,612,HSP70
P17066,PF00012,8,614,HSP70
Q9Y4L1,PF00012,35,678,HSP70
P0DMV9,PF00012,6,612,HSP70
P48741,PF00012,8,363,HSP70
P11142,PF00012,6,612,HSP70
O95757,PF00012,3,588,HSP70
O95757,PF00012,571,694,HSP70
Q8IWZ3,PF00013,1697,1761,KH_1
P51116,PF00013,293,363,KH_1
P51116,PF00013,230,290,KH_1
Q92945,PF00013,146,210,KH_1
Q92945,PF00013,426,493,KH_1
Q92945,PF00013,235,301,KH_1
Q92945,PF00013,324,388,KH_1
Q00341,PF00013,581,645,KH_1
Q00341,PF00013,655,718,KH_1
Q00341,PF00013,152,214,KH_1
Q00341,PF00013,437,499,KH_1
Q00341,PF00013,1054,1119,KH_1
Q00341,PF00013,729,792,KH_1
Q00341,PF00013,1129,1192,KH_1
Q00341,PF00013,509,572,KH_1
Q00341,PF00013,366,426,KH_1
Q00341,PF00013,297,359,KH_1
Q00341,PF00013,974,1036,KH_1
Q00341,PF00013,875,969,KH_1
Q00341,PF00013,224,286,KH_1
Q00341,PF00013,802,865,KH_1
Q15366,PF00013,289,353,KH_1
Q15366,PF00013,99,163,KH_1
Q15366,PF00013,15,77,KH_1
O75179,PF00013,1727,1791,KH_1
Q96I24,PF00013,79,143,KH_1
Q96I24,PF00013,356,423,KH_1
