id_mutation	id_protein	id_pfam	start	end
156797	2	PF02320	28	91
154561	9	PF03098	727	1272
154567	9	PF03098	727	1272
154562	9	PF03098	727	1272
154566	9	PF03098	727	1272
154569	9	PF13855	50	110
154573	9	PF13927	329	402
154570	9	PF07679	511	597
154568	9	PF07679	511	597
22739	9	PF07679	234	321
154563	9	PF07679	419	505
154677	18	PF04054	1998	2357
154683	18	PF12842	1387	1534
154678	18	PF12842	1387	1534
154679	18	PF16415	1087	1313
154682	18	PF16417	813	1004
154676	18	PF16418	500	656
152435	19	PF15963	293	398
156718	20	PF16005	10	95
152289	23	PF00076	101	169
152299	23	PF00076	101	169
152307	23	PF00076	101	169
152313	23	PF00076	101	169
152297	23	PF12414	208	297
152312	23	PF12414	208	297
152306	23	PF12414	208	297
152305	23	PF12414	208	297
152318	23	PF12414	208	297
152304	23	PF12414	208	297
152311	23	PF12414	208	297
152303	23	PF12414	208	297
152310	23	PF12414	208	297
152309	23	PF12414	208	297
169404	23	PF12414	208	297
140826	25	PF06470	1719	1847
140869	25	PF06470	1719	1847
2229	25	PF06470	1719	1847
140910	25	PF06470	1719	1847
140967	25	PF06470	1719	1847
140968	25	PF06470	1719	1847
140953	25	PF06470	1719	1847
140837	25	PF06470	1719	1847
140867	25	PF06470	1719	1847
140866	25	PF06470	1719	1847
140889	25	PF13589	139	295
140880	25	PF13589	139	295
140890	25	PF13589	139	295
140854	25	PF13589	139	295
140863	25	PF13589	139	295
140959	25	PF13589	139	295
2228	25	PF13589	139	295
140919	25	PF13589	139	295
140891	25	PF13589	139	295
140977	25	PF13589	139	295
140939	25	PF13589	139	295
140892	25	PF13589	139	295
140877	25	PF13589	139	295
140971	25	PF13589	139	295
140858	25	PF13589	139	295
140814	25	PF13589	139	295
140951	25	PF13589	139	295
153716	31	PF00063	128	815
153729	31	PF00063	128	815
22690	31	PF00063	128	815
153718	31	PF00063	128	815
153732	31	PF00063	128	815
22689	31	PF00063	128	815
153730	31	PF00063	128	815
153733	31	PF00063	128	815
2464	31	PF00063	128	815
153713	31	PF00063	128	815
153721	31	PF00063	128	815
22688	31	PF00063	128	815
153715	31	PF01576	892	1973
153722	31	PF01576	892	1973
153719	31	PF01576	892	1973
153712	31	PF01576	892	1973
153741	31	PF01576	892	1973
153742	31	PF01576	892	1973
153711	31	PF01576	892	1973
153723	31	PF01576	892	1973
153734	31	PF01576	892	1973
2462	31	PF01576	892	1973
153735	31	PF01576	892	1973
22691	31	PF01576	892	1973
153720	31	PF01576	892	1973
153737	31	PF01576	892	1973
153727	31	PF01576	892	1973
153717	31	PF01576	892	1973
153738	31	PF01576	892	1973
153724	31	PF01576	892	1973
153736	31	PF01576	892	1973
153728	31	PF01576	892	1973
2463	31	PF01576	892	1973
157187	32	PF15229	295	529
146725	34	PF00514	145	185
146707	34	PF00514	145	185
146689	34	PF00514	145	185
146684	34	PF00514	145	185
146745	34	PF00514	145	185
146718	34	PF00514	145	185
146701	34	PF00514	314	354
146731	34	PF00514	314	354
146721	34	PF00514	314	354
146677	34	PF00514	314	354
146700	34	PF00514	314	354
146691	34	PF00514	314	354
146678	34	PF00514	314	354
146679	34	PF00514	314	354
146699	34	PF00514	314	354
168994	34	PF00514	231	270
146743	34	PF00514	231	270
146715	34	PF00514	231	270
146733	34	PF00514	231	270
146706	34	PF00514	187	228
146734	34	PF00514	187	228
146705	34	PF00514	187	228
146717	34	PF00514	187	228
146744	34	PF00514	187	228
146682	34	PF00514	187	228
146688	34	PF00514	187	228
146739	34	PF00514	187	228
146690	34	PF00514	187	228
146738	34	PF00514	187	228
22016	34	PF00514	187	228
146704	34	PF00514	187	228
146710	34	PF00514	102	143
146709	34	PF00514	102	143
146708	34	PF00514	102	143
168995	34	PF00514	102	143
22015	34	PF00514	102	143
146748	34	PF00514	356	396
146724	34	PF00514	272	312
146687	34	PF00514	272	312
146714	34	PF00514	272	312
146703	34	PF00514	272	312
146683	34	PF00514	272	312
146702	34	PF00514	272	312
146723	34	PF00514	272	312
146681	34	PF00514	272	312
146716	34	PF00514	272	312
146686	34	PF00514	272	312
146722	34	PF00514	272	312
146732	34	PF00514	272	312
146746	34	PF01749	10	92
146736	34	PF01749	10	92
146726	34	PF01749	10	92
168993	34	PF01749	10	92
146735	34	PF01749	10	92
168991	34	PF01749	10	92
146713	34	PF01749	10	92
146741	34	PF01749	10	92
146712	34	PF01749	10	92
146740	34	PF01749	10	92
146711	34	PF01749	10	92
168992	34	PF01749	10	92
146742	34	PF16186	448	499
146695	34	PF16186	448	499
146728	34	PF16186	448	499
146680	34	PF16186	448	499
146694	34	PF16186	448	499
146693	34	PF16186	448	499
157161	37	PF00248	16	294
142578	41	PF00225	229	553
142575	41	PF00225	229	553
142566	41	PF00225	229	553
142569	41	PF00225	229	553
142565	41	PF00225	229	553
142571	41	PF00225	229	553
142573	41	PF00225	229	553
108066	42	PF01712	53	265
108097	42	PF01712	53	265
108067	42	PF01712	53	265
108090	42	PF01712	53	265
108068	42	PF01712	53	265
108069	42	PF01712	53	265
17554	42	PF01712	53	265
108093	42	PF01712	53	265
108070	42	PF01712	53	265
108071	42	PF01712	53	265
108096	42	PF01712	53	265
108065	42	PF01712	53	265
166588	42	PF01712	53	265
108072	42	PF01712	53	265
108095	42	PF01712	53	265
17555	42	PF01712	53	265
108063	42	PF01712	53	265
108073	42	PF01712	53	265
166583	42	PF01712	53	265
166585	42	PF01712	53	265
108088	42	PF01712	53	265
108075	42	PF01712	53	265
108074	42	PF01712	53	265
108076	42	PF01712	53	265
108098	42	PF01712	53	265
108084	42	PF01712	53	265
108092	42	PF01712	53	265
108089	42	PF01712	53	265
108091	42	PF01712	53	265
108078	42	PF01712	53	265
108077	42	PF01712	53	265
108079	42	PF01712	53	265
