uniprot,tipo,start,end
O94910,7tm_2,857,1093
Q9HAR2,7tm_2,861,1097
O14514,7tm_2,944,1180
O75899,7tm_3,475,743
Q9NZH0,7tm_3,49,291
Q5T848,7tm_3,410,666
Q9UBS5,7tm_3,586,856
P41594,7tm_3,573,821
Q14416,7tm_3,561,813
P38606,ATP-synt_ab,230,455
P06576,ATP-synt_ab,186,405
P25705,ATP-synt_ab,192,415
P21281,ATP-synt_ab,173,399
Q5VTE0,GTP_EFTU,5,238
O60841,GTP_EFTU,629,844
Q8IYD1,GTP_EFTU,201,479
Q96RP9,GTP_EFTU,44,319
P41091,GTP_EFTU,39,245
Q05639,GTP_EFTU,5,238
P15170,GTP_EFTU,72,352
P13639,GTP_EFTU,17,360
Q15029,GTP_EFTU,127,440
P68104,GTP_EFTU,5,238
P49411,GTP_EFTU,55,249
P01106,HLH,355,407
Q9BW11,HLH,58,110
P41134,HLH,66,106
Q15672,HLH,109,160
Q96SQ7,HLH,231,283
Q16559,HLH,3,55
Q14190,HLH,2,53
P02489,HSP20,63,162
Q16082,HSP20,66,163
P04792,HSP20,87,184
Q9UBY9,HSP20,74,170
Q9UJY1,HSP20,93,180
Q12988,HSP20,64,150
P02511,HSP20,67,162
P34932,HSP70,3,607
P34932,HSP70,586,691
P34931,HSP70,8,614
P38646,HSP70,55,653
P11021,HSP70,30,636
P54652,HSP70,7,615
Q92598,HSP70,3,708
P0DMV8,HSP70,6,612
P17066,HSP70,8,614
Q9Y4L1,HSP70,35,678
P0DMV9,HSP70,6,612
P11142,HSP70,6,612
O95757,HSP70,3,588
O95757,HSP70,571,694
Q8IWZ3,KH_1,1697,1761
P51116,KH_1,293,363
P51116,KH_1,230,290
F8W930,KH_1,282,349
F8W930,KH_1,435,500
F8W930,KH_1,201,266
F8W930,KH_1,517,583
Q92945,KH_1,146,210
Q92945,KH_1,426,493
Q92945,KH_1,235,301
Q92945,KH_1,324,388
Q00341,KH_1,581,645
Q00341,KH_1,655,718
Q00341,KH_1,152,214
Q00341,KH_1,437,499
Q00341,KH_1,1054,1119
Q00341,KH_1,729,792
Q00341,KH_1,1129,1192
Q00341,KH_1,509,572
Q00341,KH_1,366,426
Q00341,KH_1,297,359
Q00341,KH_1,974,1036
Q00341,KH_1,875,969
Q00341,KH_1,224,286
Q00341,KH_1,802,865
Q15366,KH_1,289,353
Q15366,KH_1,99,163
Q15366,KH_1,15,77
O75179,KH_1,1727,1791
Q96I24,KH_1,79,143
Q96I24,KH_1,356,423
Q96I24,KH_1,164,230
Q96I24,KH_1,255,319
Q9H694,KH_1,134,201
Q9H694,KH_1,286,350
Q96PU8,KH_1,83,140
Q9NXZ2,KH_1,70,130
P51114,KH_1,283,353
Q96AE4,KH_1,102,166
Q96AE4,KH_1,187,253
Q96AE4,KH_1,378,445
Q96AE4,KH_1,277,341
Q06787,KH_1,283,333
Q06787,KH_1,220,280
A1L020,KH_1,225,286
A1L020,KH_1,132,195
P57723,KH_1,243,307
P57723,KH_1,103,168
P57723,KH_1,19,80
Q8N9N2,KH_1,92,149
Q9NZI8,KH_1,278,345
Q9NZI8,KH_1,197,262
Q9NZI8,KH_1,407,472
Q9NZI8,KH_1,489,555
Q5VWX1,KH_1,61,130
P57721,KH_1,131,195
P57721,KH_1,295,359
P57721,KH_1,47,109
Q15637,KH_1,137,224
Q15365,KH_1,281,345
Q15365,KH_1,99,164
Q15365,KH_1,15,77
Q8TCS8,KH_1,607,666
O75525,KH_1,57,120
P61978,KH_1,389,453
P61978,KH_1,146,211
P61978,KH_1,44,105
Q6ZN04,KH_1,162,223
Q6ZN04,KH_1,67,129
Q9UNW9,KH_1,132,198
Q9UNW9,KH_1,408,475
Q9UNW9,KH_1,35,101
Q07666,KH_1,157,227
Q5U5Q3,KH_1,328,389
Q5U5Q3,KH_1,232,295
O00425,KH_1,278,345
O00425,KH_1,489,555
O00425,KH_1,197,262
O00425,KH_1,407,472
Q86XN8,KH_1,275,336
Q86XN8,KH_1,180,242
Q9Y6M1,KH_1,276,343
Q9Y6M1,KH_1,429,494
Q9Y6M1,KH_1,195,260
Q9Y6M1,KH_1,511,577
B4DXZ6,KH_1,270,340
B4DXZ6,KH_1,207,267
Q86TM3,KH_1,51,111
P05067,Kunitz_BPTI,290,342
Q92569,SH2,358,432
Q92569,SH2,65,140
P06239,SH2,127,209
P07947,SH2,158,240
O15524,SH2,79,154
P16591,SH2,460,531
P16333,SH2,282,356
O75791,SH2,58,132
P06241,SH2,149,231
Q06124,SH2,112,197
Q06124,SH2,6,81
Q9NRF2,SH2,527,604
P29350,SH2,110,194
P29350,SH2,4,79
Q9H3Y6,SH2,120,197
P00519,SH2,127,202
P19174,SH2,550,639
P19174,SH2,668,741
Q9ULZ2,SH2,179,256
O00459,SH2,622,696
O00459,SH2,330,405
P46109,SH2,14,88
P08631,SH2,144,226
P43405,SH2,168,244
P43405,SH2,15,92
P51813,SH2,296,377
P62993,SH2,60,135
P51451,SH2,124,205
P07948,SH2,129,211
Q08881,SH2,239,323
Q13882,SH2,78,155
P40763,SH2,584,674
P42684,SH2,173,248
Q14451,SH2,431,512
P42680,SH2,247,330
P42224,SH2,573,657
P12931,SH2,151,233
Q13094,SH2,422,505
P42685,SH2,116,193
P27986,SH2,624,698
P27986,SH2,333,408
P42229,SH2,589,670
Q03405,UPAR_LY6,25,99
Q03405,UPAR_LY6,216,294
O94772,UPAR_LY6,28,111
P13987,UPAR_LY6,28,95
P60709,Actin,2,375
P68032,Actin,4,377
O96019,Actin,8,429
P63267,Actin,3,376
P63261,Actin,2,375
O94805,Actin,8,426
P61158,Actin,2,412
