uniprot_acc,organism,mlo,rol,db,hgnc_id,gene_name,approved_name,gene_id
A0A024RBG1,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:18012,NUDT4B,nudix hydrolase 4B,440672.0
A0A096LP55,Homo sapiens,stress granule,regulator,drllps,HGNC:51714,UQCRHL,ubiquinol-cytochrome c reductase hinge protein like,440567.0
A0A0U1RRE5,Homo sapiens,p-body,"component, client","drllps, phasepdb_uniprot",HGNC:50713,NBDY,negative regulator of P-body association,550643.0
A0AV96,Homo sapiens," stress granule, p-body, stress granule","component, client","drllps, phasepdb_ht",HGNC:30358,RBM47,RNA binding motif protein 47,54502.0
A0FGR8,Homo sapiens," postsynaptic density, nucleolus",client,drllps,HGNC:22211,ESYT2,extended synaptotagmin 2,57488.0
A0FGR9,Homo sapiens,nucleolus,client,drllps,HGNC:24295,ESYT3,extended synaptotagmin 3,83850.0
A0MZ66,Homo sapiens,postsynaptic density,client,drllps,HGNC:29319,SHTN1,shootin 1,57698.0
A1KXE4,Homo sapiens,stress granule,"component, client","drllps, phasepdb_ht",HGNC:27016,FAM168B,family with sequence similarity 168 member B,130074.0
A1KZ92,Homo sapiens,stress granule,client,drllps,HGNC:26359,PXDNL,peroxidasin like,137902.0
A1L020,Homo sapiens," stress granule, p-body, stress granule","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:33482,MEX3A,mex-3 RNA binding family member A,92312.0
A1L3X0,Homo sapiens,nucleolus,client,drllps,HGNC:26292,ELOVL7,ELOVL fatty acid elongase 7,79993.0
A2A288,Homo sapiens,p-body,component,phasepdb_uniprot,HGNC:21175,ZC3H12D,zinc finger CCCH-type containing 12D,340152.0
A2A3K4,Homo sapiens,null_phasepdb_ht,regulator,phasepdb_ht,HGNC:30184,PTPDC1,protein tyrosine phosphatase domain containing 1,138639.0
A2RTX5,Homo sapiens,nucleolus,client,drllps,HGNC:24728,TARS3,threonyl-tRNA synthetase 3,123283.0
A4D1E9,Homo sapiens,nucleolus,component,phasepdb_uniprot,HGNC:25106,GTPBP10,GTP binding protein 10,85865.0
A4D1P6,Homo sapiens,postsynaptic density,client,drllps,HGNC:24997,WDR91,WD repeat domain 91,29062.0
A5PKW4,Homo sapiens,postsynaptic density,client,drllps,HGNC:9507,PSD,pleckstrin and Sec7 domain containing,5662.0
A5YKK6,Homo sapiens," stress granule, p-body, stress granule","component, client","drllps, phasepdb_ht, phasepdb_uniprot",HGNC:7877,CNOT1,CCR4-NOT transcription complex subunit 1,23019.0
A6H8Y1,Homo sapiens," stress granule, p-body",regulator,drllps,HGNC:13652,BDP1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",55814.0
A6NC42,Homo sapiens,stress granule,client,drllps,HGNC:19201,DPPA5,developmental pluripotency associated 5,340168.0
A6NCS6,Homo sapiens,postsynaptic density,client,drllps,HGNC:27418,C2orf72,chromosome 2 open reading frame 72,257407.0
