id_protein	id_pfam	start	end	length
1	PF00293	17	144	128
2	PF02320	28	91	64
4	PF00076	153	220	68
4	PF00076	248	312	65
4	PF00076	73	141	69
5	PF00168	385	491	107
5	PF00168	801	910	110
5	PF00168	537	635	99
5	PF17047	191	370	180
6	PF00168	769	878	110
6	PF00168	306	410	105
6	PF00168	445	564	120
6	PF17047	114	291	178
8	PF14944	1	53	53
8	PF14944	50	195	146
9	PF13855	122	182	61
9	PF07679	419	505	87
9	PF13855	50	110	61
9	PF13927	329	402	74
9	PF07679	234	321	88
9	PF07679	511	597	87
9	PF00093	1395	1450	56
9	PF03098	727	1272	546
10	PF00013	225	286	62
10	PF13920	465	515	51
10	PF00013	132	195	64
11	PF01151	29	269	241
12	PF11977	88	244	157
12	PF18039	3	44	42
13	PF00782	100	243	144
14	PF07973	328	377	50
14	PF02824	162	222	61
14	PF03129	699	790	92
14	PF00587	476	687	212
15	PF01926	150	279	130
15	PF01018	16	142	127
16	PF00400	552	590	39
17	PF00169	757	869	113
17	PF01369	539	708	170
18	PF16415	1087	1313	227
18	PF12842	1387	1534	148
18	PF04054	1998	2357	360
18	PF16417	813	1004	192
18	PF16418	500	656	157
19	PF15963	293	398	106
20	PF16005	10	95	86
21	PF15443	139	293	155
22	PF07707	169	270	102
22	PF00651	53	162	110
23	PF00076	101	169	69
23	PF12414	208	297	90
24	PF05832	30	171	142
25	PF13589	139	295	157
25	PF06470	1719	1847	129
26	PF00412	290	346	57
26	PF00412	225	281	57
26	PF00412	350	415	66
27	PF10226	12	219	208
28	PF03399	60	349	290
29	PF01465	1707	1750	44
29	PF13181	61	93	33
29	PF16704	1641	1706	66
29	PF00638	1346	1467	122
29	PF00638	1049	1170	122
30	PF13908	79	145	67
31	PF00063	128	815	688
31	PF01576	892	1973	1082
31	PF02736	72	117	46
32	PF15229	295	529	235
34	PF00514	145	185	41
34	PF01749	10	92	83
34	PF00514	356	396	41
34	PF00514	272	312	41
34	PF00514	231	270	40
34	PF00514	187	228	42
34	PF00514	102	143	42
34	PF00514	314	354	41
34	PF16186	448	499	52
35	PF07654	117	202	86
36	PF14799	4	96	93
37	PF00248	16	294	279
38	PF00160	7	163	157
39	PF11976	22	92	71
41	PF00225	229	553	325
42	PF01712	53	265	213
43	PF00270	68	237	170
43	PF00271	272	381	110
44	PF00412	260	314	55
44	PF00595	3	82	80
44	PF15936	138	236	99
45	PF00612	758	777	20
45	PF00063	48	718	671
45	PF06017	874	1055	182
45	PF00612	735	755	21
46	PF00018	1047	1092	46
46	PF00063	19	677	659
46	PF06017	717	915	199
48	PF00254	26	95	70
49	PF00995	33	575	543
50	PF01602	39	584	546
50	PF14796	812	958	147
50	PF14797	671	786	116
51	PF00337	18	151	134
51	PF00337	186	316	131
52	PF12838	110	164	55
53	PF01399	285	389	105
53	PF18055	12	129	118
53	PF18503	393	419	27
54	PF08515	175	202	28
54	PF01064	30	106	77
54	PF07714	204	491	288
55	PF17218	531	560	30
55	PF00385	11	60	50
56	PF00173	74	171	98
57	PF01608	862	1010	149
57	PF16515	482	580	99
57	PF07651	39	308	270
58	PF13410	123	211	89
58	PF13409	23	87	65
59	PF13012	243	355	113
59	PF01398	87	196	110
60	PF12052	50	91	42
60	PF00625	218	398	181
61	PF00069	357	482	126
61	PF00069	58	221	164
62	PF00364	57	131	75
62	PF02817	182	217	36
62	PF00198	272	501	230
63	PF00786	202	261	60
63	PF02205	403	428	26
63	PF02205	430	455	26
63	PF00568	31	138	108
64	PF01590	241	372	132
64	PF00233	655	888	234
64	PF01590	409	548	140
65	PF18808	268	357	90
65	PF18816	1005	1061	57
65	PF02985	400	430	31
65	PF18829	765	874	110
65	PF02985	906	936	31
66	PF00940	831	1230	400
66	PF14700	410	704	295
67	PF06487	19	137	119
68	PF00013	407	472	66
68	PF00013	197	262	66
68	PF00076	83	150	68
68	PF00013	489	555	67
68	PF00076	4	69	66
68	PF00013	278	345	68
69	PF01031	225	510	286
69	PF02212	639	730	92
69	PF00350	28	217	190
70	PF05189	184	286	103
70	PF01137	12	338	327
