Mutations_id_mutation	Proteins_has_pfam_domains_Proteins_id_protein	Proteins_has_pfam_domains_pfam_domains_pfam_id
23987	2	814
3993	9	2914
23988	9	947
23989	9	947
23990	9	2914
23993	9	947
23994	9	947
23995	9	2914
23996	9	2219
23997	9	2914
24000	9	2246
24005	18	2553
24006	18	1100
24007	18	2104
24008	18	2551
24011	18	2552
24012	18	2104
24042	19	2486
24046	20	2491
24049	23	50
24057	23	2047
24059	23	50
24063	23	2047
24064	23	2047
24065	23	2047
24066	23	2047
24067	23	50
24069	23	2047
24070	23	2047
24071	23	2047
24072	23	2047
24073	23	50
24078	23	2047
156491	23	2047
5	25	2186
6	25	1390
24089	25	2186
24101	25	1390
24112	25	1390
24129	25	2186
24133	25	2186
24138	25	2186
24141	25	1390
24142	25	1390
24144	25	1390
24152	25	2186
24155	25	2186
24164	25	2186
24165	25	2186
24166	25	2186
24167	25	2186
24185	25	1390
24194	25	2186
24214	25	2186
24226	25	2186
24228	25	1390
24234	25	2186
24242	25	1390
24243	25	1390
24246	25	2186
24252	25	2186
7	31	635
8	31	635
9	31	43
4018	31	43
4019	31	43
4020	31	43
4021	31	635
24278	31	635
24279	31	635
24280	31	43
24282	31	635
24283	31	43
24284	31	635
24285	31	43
24286	31	635
24287	31	635
24288	31	43
24289	31	635
24290	31	635
24291	31	635
24294	31	635
24295	31	635
24296	31	43
24297	31	43
24299	31	43
24300	31	43
24301	31	635
24302	31	635
24303	31	635
24304	31	635
24305	31	635
24308	31	635
24309	31	635
24311	32	2381
4022	34	276
4023	34	276
24314	34	276
24315	34	276
24316	34	276
24317	34	2518
24318	34	276
24319	34	276
24320	34	276
24321	34	276
24323	34	276
24324	34	276
24325	34	276
24326	34	276
24327	34	276
24328	34	276
24330	34	2518
24331	34	2518
24332	34	2518
24336	34	276
24337	34	276
24338	34	276
24339	34	276
24340	34	276
24341	34	276
24342	34	276
24343	34	276
24344	34	276
24345	34	276
24346	34	276
24347	34	276
24348	34	670
24349	34	670
24350	34	670
24351	34	276
24352	34	276
24353	34	276
24354	34	276
24355	34	276
24358	34	276
24359	34	276
24360	34	276
24361	34	276
24362	34	276
24363	34	670
24365	34	2518
24368	34	276
24369	34	276
24370	34	276
24371	34	276
24372	34	670
24373	34	670
24375	34	276
24376	34	276
24377	34	670
24378	34	670
24379	34	2518
24380	34	276
24381	34	276
24382	34	276
24383	34	670
24385	34	276
156500	34	670
156501	34	670
156502	34	670
156503	34	276
156504	34	276
24386	37	151
24387	41	138
24388	41	138
24391	41	138
24393	41	138
24395	41	138
24397	41	138
24400	41	138
10	42	662
4027	42	662
4028	42	662
24401	42	662
24402	42	662
24403	42	662
24404	42	662
24405	42	662
24406	42	662
24407	42	662
24408	42	662
24409	42	662
24410	42	662
24411	42	662
24412	42	662
24413	42	662
24414	42	662
24415	42	662
24416	42	662
24417	42	662
24418	42	662
24419	42	662
24420	42	662
24421	42	662
24422	42	662
24426	42	662
24427	42	662
24428	42	662
24429	42	662
24430	42	662
24431	42	662
24432	42	662
24433	42	662
24434	42	662
24435	42	662
24436	42	662
24438	42	662
24439	42	662
24441	42	662
156507	42	662
156508	42	662
156509	42	662
156511	42	662
156512	42	662
24442	43	160
24444	45	43
24445	45	1352
24447	45	43
24450	45	43
24452	45	43
24453	45	43
24454	46	43
24455	46	43
24456	46	1352
24457	46	43
24459	46	16
24461	46	1352
24462	46	43
24463	46	43
24464	46	43
24465	46	1352
24466	46	1352
24467	46	1352
156513	46	43
15	48	155
4040	48	155
24514	48	155
24515	48	155
24516	48	155
24517	48	155
24538	48	155
24550	48	155
24558	48	155
24559	48	155
24560	48	155
24561	48	155
24562	48	155
24563	48	155
24564	48	155
24565	48	155
24566	48	155
24567	48	155
24568	48	155
24569	48	155
24570	48	155
24571	48	155
24572	48	155
24610	48	155
24611	48	155
24612	48	155
24613	48	155
24614	48	155
24628	48	155
24636	48	155
24637	48	155
156524	48	155
156534	48	155
156537	48	155
4052	50	645
24642	50	645
24643	50	645
24646	50	2343
24647	50	2343
24649	50	2343
24650	50	2343
24652	50	2344
24653	50	2343
24654	50	2344
24656	50	645
24657	50	2344
24658	50	2344
24659	50	645
24660	50	645
24661	50	645
24662	50	645
24663	50	645
24665	50	2343
24666	50	2344
24667	50	645
24669	50	2344
24670	50	2343
24671	50	645
24673	50	645
24674	50	645
24675	50	645
24676	50	2343
24677	50	645
24678	50	2343
24679	50	645
24680	50	645
24681	50	2343
24682	50	2343
24683	50	645
24684	50	645
24685	50	645
24686	50	2344
24687	50	645
24688	50	645
24691	50	2343
24692	50	2343
24693	50	2344
24695	50	645
24696	50	645
24697	50	645
24698	50	645
24699	50	645
24700	50	645
24701	50	645
24702	50	645
24703	50	645
24706	50	2344
24707	50	645
24709	50	2343
24710	50	2344
24711	50	2344
24714	50	645
24715	50	645
24716	50	645
24717	50	645
24718	50	645
24719	50	645
24720	50	645
24721	50	645
24724	50	2344
24727	50	645
24728	50	645
24729	50	645
24730	50	645
24731	50	645
24736	50	2344
24739	50	645
24740	50	645
24741	50	645
24742	50	645
24743	50	645
24744	50	2343
24745	50	2343
24746	50	2343
24747	50	2343
24748	50	645
24749	50	645
24750	50	645
24751	50	645
24752	50	2343
24753	50	2343
24756	50	645
24757	50	645
24758	50	645
24759	50	645
24760	50	645
24761	50	645
156538	50	645
156539	50	645
156541	50	645
156542	50	645
24762	51	194
24766	52	2103
24768	52	2103
24773	52	2103
24775	52	2103
24781	52	2103
24782	52	2103
24783	52	2103
24784	52	2103
24789	52	2103
24790	54	1624
24791	54	2924
24792	54	2924
24793	54	486
24794	54	486
24796	54	2924
24797	54	486
24798	54	486
24799	54	2924
24800	54	2924
24801	54	2924
