id_pfam	start	end	id_protein	length
PF00076	287	365	1	79
PLD7	120	179	1	60
PF00641	422	453	1	32
PF00013	220	280	2	61
PF18336	4	52	2	49
PF00013	283	333	2	51
PF05641	62	117	2	56
PF17904	123	207	2	85
PF12235	420	542	2	123
PF16098	549	632	2	84
PF00641	354	385	3	32
PF00076	236	314	3	79
PLD13	33	92	3	60
PLD31	301	360	4	60
PF00076	193	243	4	51
PF00076	106	172	4	67
PF18694	4	77	4	74
PF00641	518	549	5	32
PF00076	363	441	5	79
PLD15	205	264	5	60
PF00076	9	77	6	69
PF00076	108	178	6	71
PLD38	292	351	6	60
PF00076	216	280	6	65
PF07679	33	124	7	92
PF08205	548	634	7	87
PF13927	838	924	7	87
PF08205	444	538	7	95
PF08205	242	328	7	87
PF08205	344	428	7	85
PF08205	138	228	7	91
PF00041	942	1025	7	84
PF13927	739	820	7	82
PF02205	403	428	8	26
PF00786	202	261	8	60
PF00568	31	138	8	108
PF02205	430	455	8	26
PF00017	282	356	9	75
PF00018	196	244	9	49
PF14604	113	161	9	49
PF00018	8	53	9	46
PF00271	526	635	10	110
PF00270	312	491	10	180
PF00270	204	392	11	189
PF00271	426	536	11	111
PF04096	738	885	12	148
PF12110	1332	1623	12	292
PF00385	20	69	14	50
PF01393	123	174	14	52
PF00627	581	618	15	38
PF00240	33	105	15	73
PLD134	343	402	15	60
PF00525	10	54	16	45
PF00011	66	163	16	98
PF00418	654	685	17	32
PF00418	560	591	17	32
PF00418	623	653	17	31
PF00418	592	622	17	31
PF16608	1361	1646	18	286
PF10427	912	1068	18	157
PF00337	117	247	19	131
PLD114	13	72	19	60
PF00564	21	102	20	82
PF16577	379	440	20	62
PF00569	122	165	20	44
PF15234	1	258	21	258
PF00017	60	135	22	76
PF00018	4	50	22	47
PF00018	162	207	22	46
PF00621	211	388	23	178
PF00618	600	717	23	118
PF00125	40	169	23	130
PF00169	428	546	23	119
PF00617	783	962	23	180
PF02750	214	416	24	203
PLD104	447	506	24	60
PF10581	1	32	24	32
PF02078	110	212	24	103
PF03281	214	510	25	297
PF10744	59	426	26	368
PF17035	609	673	27	65
PF00439	67	152	27	86
PF00439	357	445	27	89
PF17105	1319	1362	27	44
PLD63	967	1026	27	60
PF00076	99	168	28	70
PLD17	281	340	28	60
PF08143	1	78	28	78
PF00076	184	255	28	72
PF00917	38	163	29	126
PF00651	190	297	29	108
PF03344	48	146	30	99
PF05001	1924	1936	31	13
PF05001	1798	1811	31	14
PF05001	1742	1755	31	14
PF05001	1805	1818	31	14
PF05001	1931	1947	31	17
PF05001	1889	1902	31	14
PF00623	356	521	31	166
PF04983	524	692	31	169
PF04990	1164	1299	31	136
PF04992	896	1079	31	184
PF04997	15	354	31	340
PF04998	830	1427	31	598
PF05000	716	823	31	108
PF05001	1861	1874	31	14
PF05001	1941	1954	31	14
PF05001	1855	1867	31	13
PF05001	1917	1930	31	14
PF05001	1868	1881	31	14
PF05001	1700	1713	31	14
PF05001	1896	1909	31	14
PF05001	1833	1846	31	14
PF05001	1778	1790	31	13
PF05001	1735	1748	31	14
PF05001	1749	1762	31	14
PF05001	1763	1776	31	14
PF05001	1910	1923	31	14
PF05001	1756	1769	31	14
PF05001	1630	1643	31	14
PF05001	1784	1797	31	14
PF05001	1644	1657	31	14
PF05001	1651	1664	31	14
PF05001	1658	1671	31	14
PF05001	1672	1685	31	14
PF05001	1770	1783	31	14
