id_mutation	id_lc
23989	5240
3994	9733
3995	9732
24003	5023
24009	11903
24030	10455
24048	5786
24056	5786
24069	5789
24075	5787
24077	5787
24081	5786
24108	7583
24122	7579
24147	7583
24162	7580
24178	7579
24205	7579
24239	7582
24244	7584
24248	7580
24251	7580
24259	7580
7	3037
8	3043
4021	3038
24279	3026
24282	3022
24284	3040
24286	3023
24287	3038
24289	3022
24290	3033
24294	3039
24295	3042
24301	3037
24302	3037
24303	3041
24305	3040
24308	3027
24309	3029
24310	3660
24311	3665
24390	1308
24394	1311
4030	1362
24424	1362
24437	1362
12	14422
3374	14422
3375	14422
4033	14422
4037	14423
22884	14423
24479	14421
24482	14422
24487	14423
24497	14422
24498	14423
24502	14423
24503	14423
24506	14422
24507	14422
21	808
24650	809
24652	807
24654	808
24657	808
24658	807
24668	808
24669	807
24670	809
24675	806
24710	808
24711	807
24716	806
24717	806
24724	808
24736	807
24771	3267
24785	3267
24795	10527
24814	10528
24824	10527
3377	10992
24838	14566
23	10807
24855	10807
24869	10808
24885	10808
24898	10807
24899	10808
156544	10808
4058	3591
24916	3591
24938	3591
24939	3590
156548	3591
22887	12547
24968	12546
24969	12546
24970	12546
24971	12546
24972	12546
24973	12546
24997	12548
24999	12546
26	3732
3378	3732
25057	3730
25064	3734
25070	3732
25071	3734
25078	3733
25080	3733
25088	3730
25089	3732
156560	3731
25116	10496
25133	10495
25139	10495
25147	10496
25157	10494
4066	1495
4071	1496
4082	1496
4120	1495
25222	1495
156579	1496
25244	2732
25245	15625
25248	15625
34	6111
25341	6111
38	4174
40	4175
25377	4174
25389	4174
25465	12353
25470	12367
25479	12356
25485	12355
25487	12361
2528	820
25496	820
25503	11661
25504	11650
25508	11651
4229	8888
25516	8889
25522	8889
25540	8885
25548	8889
25601	8886
25613	8887
25629	8887
25632	8886
25650	8889
25674	8886
25675	8886
25687	8889
25701	8888
25702	8887
25717	8887
25720	8886
25721	8886
25726	8889
25731	8886
25732	8886
25738	8889
25745	8888
25815	8888
25818	8887
25824	8886
25825	8886
25826	8886
25827	8886
25828	8886
25829	8886
25830	8886
25838	8885
25900	8888
25901	8888
25902	8888
25903	8888
25906	8887
25907	8887
25908	8887
25909	8887
25917	8886
25918	8886
25919	8886
25920	8886
25939	8889
25954	8889
25969	8886
25970	8886
25994	8887
26006	8889
26019	8888
26020	8887
26028	8886
26029	8886
26047	8886
26048	8886
156660	8886
26097	9329
26098	9329
26109	9328
26110	9328
26111	9328
26160	9329
26170	9328
26181	9328
26183	9328
26190	9329
26197	9328
26236	9328
26237	9328
26249	9328
156676	9328
26262	8821
50	5402
26336	5401
26337	5401
26340	5402
52	10407
26397	10406
26413	10406
26417	10406
54	12259
4285	12259
26485	12259
4295	3120
22902	3126
26583	13807
