Mutations_id_mutation	Low_complexity_id_lc
23989	9
3994	16
3995	16
24003	17
24009	18
24030	19
24048	23
24056	23
24069	23
24075	23
24077	23
24081	23
24108	25
24122	25
24147	25
24162	25
24178	25
24205	25
24239	25
24244	25
24248	25
24251	25
24259	25
7	31
8	31
4021	31
24279	31
24282	31
24284	31
24286	31
24287	31
24289	31
24290	31
24294	31
24295	31
24301	31
24302	31
24303	31
24305	31
24308	31
24309	31
24310	32
24311	32
24390	41
24394	41
4030	42
24424	42
24437	42
12	47
4033	47
4037	47
24479	47
24482	47
24487	47
24497	47
24498	47
24502	47
24503	47
24506	47
24507	47
3374	47
3375	47
22884	47
21	50
24650	50
24652	50
24654	50
24657	50
24658	50
24668	50
24669	50
24670	50
24675	50
24710	50
24711	50
24716	50
24717	50
24724	50
24736	50
24771	52
24785	52
24795	54
24814	54
24824	54
3377	55
24838	57
23	60
24855	60
24869	60
24885	60
24898	60
24899	60
156544	60
4058	62
24916	62
24938	62
24939	62
156548	62
24968	69
24969	69
24970	69
24971	69
24972	69
24973	69
24997	69
24999	69
22887	69
26	74
25057	74
25064	74
25070	74
25071	74
25078	74
25080	74
25088	74
25089	74
156560	74
3378	74
25116	78
25133	78
25139	78
25147	78
25157	78
4066	82
4071	82
4082	82
4120	82
25222	82
156579	82
25244	86
25245	87
25248	87
34	89
25341	89
38	91
40	91
25377	91
25389	91
25465	109
25470	109
25479	109
25485	109
25487	109
2528	112
25496	112
25503	115
25504	115
25508	115
4229	120
25516	120
25522	120
25540	120
25548	120
25601	120
25613	120
25629	120
25632	120
25650	120
25674	120
25675	120
25687	120
25701	120
25702	120
25717	120
25720	120
25721	120
25726	120
25731	120
25732	120
25738	120
25745	120
25815	120
25818	120
25824	120
25825	120
25826	120
25827	120
25828	120
25829	120
25830	120
25838	120
25900	120
25901	120
25902	120
25903	120
25906	120
25907	120
25908	120
25909	120
25917	120
25918	120
25919	120
25920	120
25939	120
25954	120
25969	120
25970	120
25994	120
26006	120
26019	120
26020	120
26028	120
26029	120
26047	120
26048	120
156660	120
26097	122
26098	122
26109	122
26110	122
26111	122
26160	122
26170	122
26181	122
26183	122
26190	122
26197	122
26236	122
26237	122
26249	122
156676	122
26262	124
50	128
26336	128
26337	128
26340	128
52	134
26397	134
26413	134
26417	134
54	140
4285	140
26485	140
4295	144
22902	144
26583	145
26585	145
56	147
57	147
58	147
59	147
60	147
4298	147
26588	147
26590	147
26592	147
26593	147
26594	147
26595	147
26596	147
26597	147
26598	147
26599	147
26604	147
26608	147
26609	147
26614	147
26615	147
26616	147
26617	147
26620	147
26621	147
26625	147
3386	147
26640	149
26648	149
26661	149
26678	149
26693	149
26694	149
26708	149
26709	149
26715	149
26716	149
26723	149
26732	149
26739	149
156742	149
156745	149
26775	150
26777	150
26778	150
4307	151
26798	151
26801	151
26804	151
156753	151
156754	151
64	152
4311	152
26825	152
26838	152
26851	152
26872	152
26878	152
26879	152
26894	152
26895	152
26904	152
26911	152
26913	152
26925	152
26929	152
26930	152
26933	152
26935	152
26940	152
26941	152
26942	152
26944	152
26948	152
26957	152
26962	152
156756	152
156757	152
3387	152
4315	156
4316	156
4317	156
4319	156
26989	156
26990	156
26992	156
156760	156
26998	157
26999	157
27010	161
68	163
69	163
70	163
71	163
72	163
4322	163
4323	163
4325	163
4326	163
4327	163
4329	163
4330	163
4333	163
4334	163
4335	163
4336	163
4338	163
4342	163
4343	163
4344	163
4346	163
4348	163
4350	163
4354	163
4355	163
4356	163
4359	163
4361	163
4362	163
4363	163
4364	163
4368	163
4370	163
4371	163
4372	163
4373	163
4375	163
4376	163
4378	163
4381	163
4386	163
4387	163
4388	163
4389	163
4393	163
4394	163
4397	163
4402	163
4408	163
4412	163
4418	163
4420	163
4422	163
4424	163
27019	163
27020	163
27024	163
27025	163
27026	163
27030	163
27031	163
27034	163
27035	163
27036	163
27040	163
27042	163
27055	163
27060	163
27062	163
27064	163
27079	163
27085	163
27086	163
27089	163
27091	163
27092	163
27096	163
27097	163
27099	163
27101	163
27102	163
27104	163
27106	163
27109	163
27111	163
27117	163
27118	163
27122	163
27123	163
27125	163
27127	163
27128	163
27129	163
27131	163
27134	163
27138	163
27146	163
27155	163
27156	163
27163	163
27164	163
27165	163
27169	163
27170	163
27174	163
27176	163
27177	163
27184	163
27187	163
27189	163
27191	163
27195	163
27196	163
27200	163
27202	163
27207	163
27208	163
27218	163
27226	163
27229	163
27230	163
27233	163
27237	163
27240	163
27246	163
27252	163
27259	163
27260	163
27261	163
27262	163
27263	163
27265	163
27272	163
27281	163
27290	163
27293	163
27296	163
27297	163
27299	163
27300	163
27303	163
27305	163
27306	163
27307	163
27310	163
27312	163
27313	163
27318	163
27319	163
27324	163
27326	163
27327	163
27329	163
27334	163
2620	163
156763	163
156765	163
156768	163
156769	163
156774	163
156778	163
156780	163
156791	163
156792	163
156795	163
156796	163
156797	163
156799	163
156801	163
156805	163
156812	163
156815	163
156816	163
156818	163
156819	163
156824	163
156832	163
156833	163
156834	163
156838	163
156839	163
156840	163
156845	163
22907	163
27342	170
27394	175
27400	182
27427	184
27445	187
27458	187
27470	187
27497	187
27499	187
27510	187
156864	187
27532	189
27533	189
79	194
91	194
4496	194
4552	194
4577	194
27558	194
27662	194
27762	194
27782	194
27783	194
27841	194
27851	194
27898	194
27915	194
27916	194
27918	194
27919	194
28004	194
28005	194
28031	194
28045	194
28080	194
28106	194
28107	194
28108	194
28143	202
28144	204
28212	206
2529	208
4602	208
28224	208
3389	208
4615	213
4617	213
4621	213
28226	213
28231	213
28256	213
28299	217
28304	217
4631	221
28363	225
28371	228
4638	233
4642	233
4649	233
28385	233
28402	233
28412	233
28437	233
28473	233
28484	233
28489	233
28493	233
28500	233
28522	233
28529	233
28531	233
156995	234
28545	235
28549	235
28562	235
28564	235
100	238
4657	238
28574	238
28576	238
28577	238
28582	238
28586	238
28589	238
28613	238
28614	238
28625	238
28633	238
28634	238
28636	238
28658	238
28675	238
28676	238
28708	238
28710	238
28711	238
28712	238
28713	238
28756	238
28775	238
3390	238
103	246
28790	246
28801	246
28813	246
28814	246
28819	246
28825	246
28826	246
28832	246
28835	246
28847	246
28848	246
28851	246
28856	246
28858	246
28859	246
4663	248
4664	248
28871	248
28877	248
28886	248
28894	248
28898	248
28906	248
28928	248
28932	248
28933	248
28943	248
28947	248
28955	248
28958	248
28960	248
28961	248
28967	248
107	249
110	249
111	249
112	249
4668	249
4673	249
4682	249
4686	249
4687	249
4690	249
4691	249
4708	249
4710	249
4711	249
4721	249
4745	249
4749	249
4753	249
4758	249
28970	249
28974	249
28979	249
28996	249
28997	249
29000	249
29016	249
29054	249
29055	249
29067	249
29068	249
29069	249
29076	249
29077	249
29091	249
29092	249
29093	249
29095	249
29097	249
29103	249
29108	249
29115	249
29116	249
29136	249
29137	249
29138	249
29139	249
29147	249
29148	249
29149	249
29158	249
29159	249
29160	249
29168	249
29170	249
29172	249
29183	249
29192	249
29193	249
29198	249
29205	249
29209	249
29219	249
29220	249
29226	249
29232	249
29235	249
29241	249
29246	249
29247	249
29250	249
29256	249
29257	249
29258	249
29276	249
29283	249
29288	249
29292	249
29294	249
29315	249
29328	249
29330	249
29346	249
29355	249
29356	249
29366	249
29367	249
29368	249
29379	249
29381	249
29384	249
29386	249
29387	249
29390	249
29395	249
29402	249
29411	249
29412	249
29418	249
29426	249
29438	249
157011	249
157019	249
3393	249
22915	249
117	250
118	250
4761	250
4765	250
4766	250
4767	250
4768	250
4769	250
4774	250
29444	250
29445	250
29448	250
29449	250
29453	250
29458	250
29463	250
29464	250
29467	250
29468	250
29471	250
29472	250
29475	250
29476	250
29480	250
29483	250
29492	250
29498	250
29506	250
29509	250
29516	250
29517	250
29518	250
29529	250
29530	250
29532	250
29533	250
29535	250
157043	250
157047	250
157051	250
157054	250
157060	250
3396	250
4778	251
29650	258
4802	267
29688	267
29694	267
29701	267
29708	267
3399	267
29814	271
29817	277
29822	277
29856	278
125	281
4870	281
4874	281
4912	281
29926	281
29933	281
29944	281
29960	281
29989	281
29993	281
30005	281
157110	281
157117	281
3402	281
4932	282
4933	282
30034	282
30042	282
30050	282
157121	282
30075	289
30085	289
30127	289
30128	289
30149	293
30153	293
139	300
4959	300
4965	300
30277	300
30280	300
30293	300
157145	300
157147	300
157150	300
157152	300
157155	300
30328	303
30333	303
30339	303
30341	303
30373	303
30388	303
30402	303
30411	303
30419	303
30431	303
30443	303
30451	303
30477	303
30487	303
30510	305
30512	305
30516	306
30520	306
30544	307
30725	310
30732	310
30733	311
30734	315
30741	320
157203	320
5040	326
30754	329
30763	329
30765	329
30775	329
30776	329
30780	329
30783	329
5041	330
5043	330
5044	330
5050	330
30793	330
30797	330
30799	330
30804	330
30808	330
157208	330
154	331
155	331
156	331
157	331
158	331
30850	331
30862	331
30864	331
30865	331
30871	331
30872	331
30875	331
30881	331
30882	331
30887	331
3404	331
3405	331
30889	332
30890	332
5051	337
5053	337
30894	337
30895	337
30897	337
5067	340
5117	340
30917	340
31005	340
31033	340
31062	340
31153	340
31245	340
31267	340
31278	340
31328	340
31368	340
31451	340
31452	340
31535	340
31567	340
31568	340
31569	340
31637	340
31705	340
31706	340
31707	340
31775	340
31855	340
157260	340
22932	340
31915	342
31918	343
31919	343
157278	343
31949	345
175	357
5180	357
5182	357
5183	357
31988	357
31990	357
157286	357
2478	358
31994	358
157288	358
157289	359
176	360
177	360
5188	360
32000	360
32004	360
32005	360
32006	360
32007	360
32008	360
32010	360
32012	360
32013	360
32014	360
32016	360
32022	360
