id_protein	id_pfam	start	end	length
2	PF02320	28	91	64
9	PF13855	122	182	61
9	PF07679	419	505	87
9	PF13855	50	110	61
9	PF13927	329	402	74
9	PF07679	234	321	88
9	PF07679	511	597	87
9	PF00093	1395	1450	56
9	PF03098	727	1272	546
12	PF11977	88	244	157
12	PF18039	3	44	42
16	PF00400	552	590	39
17	PF00169	757	869	113
17	PF01369	539	708	170
18	PF16415	1087	1313	227
18	PF12842	1387	1534	148
18	PF04054	1998	2357	360
18	PF16417	813	1004	192
18	PF16418	500	656	157
19	PF15963	293	398	106
20	PF16005	10	95	86
23	PF00076	101	169	69
23	PF12414	208	297	90
25	PF13589	139	295	157
25	PF06470	1719	1847	129
31	PF00063	128	815	688
31	PF01576	892	1973	1082
31	PF02736	72	117	46
32	PF15229	295	529	235
34	PF00514	145	185	41
34	PF01749	10	92	83
34	PF00514	356	396	41
34	PF00514	272	312	41
34	PF00514	231	270	40
34	PF00514	187	228	42
34	PF00514	102	143	42
34	PF00514	314	354	41
34	PF16186	448	499	52
37	PF00248	16	294	279
41	PF00225	229	553	325
42	PF01712	53	265	213
43	PF00270	68	237	170
43	PF00271	272	381	110
45	PF00612	758	777	20
45	PF00063	48	718	671
45	PF06017	874	1055	182
45	PF00612	735	755	21
46	PF00018	1047	1092	46
46	PF00063	19	677	659
46	PF06017	717	915	199
48	PF00254	26	95	70
50	PF01602	39	584	546
50	PF14796	812	958	147
50	PF14797	671	786	116
51	PF00337	18	151	134
51	PF00337	186	316	131
52	PF12838	110	164	55
54	PF08515	175	202	28
54	PF01064	30	106	77
54	PF07714	204	491	288
55	PF17218	531	560	30
55	PF00385	11	60	50
57	PF01608	862	1010	149
57	PF16515	482	580	99
57	PF07651	39	308	270
59	PF13012	243	355	113
59	PF01398	87	196	110
60	PF12052	50	91	42
60	PF00625	218	398	181
61	PF00069	357	482	126
61	PF00069	58	221	164
62	PF00364	57	131	75
62	PF02817	182	217	36
62	PF00198	272	501	230
64	PF01590	241	372	132
64	PF00233	655	888	234
