uniprot,start,end
P62258,234,255
Q15172,1,52
Q14738,1,96
Q13362,476,509
Q9Y3L3,1,23
Q9Y3L3,160,182
Q9Y3L3,496,701
O60239,1,63
O60239,259,293
O60239,306,345
O60239,369,435
P29372,1,65
P11171,1,122
P11171,136,170
P11171,182,202
P11171,518,572
P11171,586,611
Q13541,1,20
Q13541,25,48
Q13541,64,118
Q9NRA8,1,24
Q9NRA8,208,230
Q9NRA8,664,693
Q9NRA8,707,803
Q9NRA8,922,953
P08195,15,39
Q96P26,1,34
Q96P26,101,277
P49902,538,561
P05067,194,284
Q9NRG9,500,546
Q2M2I8,1,26
Q2M2I8,327,493
Q2M2I8,562,632
Q2M2I8,664,701
Q2M2I8,836,860
Q2M2I8,921,945
Q13131,485,536
P54646,477,521
Q9NY61,76,208
Q9NY61,309,333
Q9NUT2,712,735
Q8NE71,1,261
Q8NE71,559,602
Q9NUQ8,129,171
Q8IZP0,159,290
Q8IZP0,306,375
Q8IZP0,388,421
Q9NYB9,167,431
P00519,518,996
P42684,1,47
P42684,60,80
P42684,611,641
P42684,654,674
P42684,762,794
P42684,807,851
P42684,964,1024
O14639,339,370
O14639,414,510
O14639,552,597
Q6H8Q1,269,295
Q6H8Q1,336,527
O94929,372,472
Q12979,26,84
Q9ULW3,1,38
Q9ULW3,198,272
Q15027,525,581
Q5T8D3,181,225
Q5T8D3,376,442
Q9UKV3,1,29
Q9UKV3,159,460
Q9UKV3,475,530
Q9UKV3,548,865
Q9UKV3,892,953
Q9UKV3,1098,1341
Q07912,90,114
Q07912,497,535
Q07912,659,702
Q07912,718,840
Q07912,917,957
P53396,441,487
Q99798,528,560
O14734,1,20
Q9P0K1,785,906
O75077,1,37
P35611,1,21
P35611,421,486
P35611,576,737
P35612,1,25
P35612,525,726
Q9UEY8,1,20
Q9UEY8,471,497
Q9UEY8,535,554
Q9UEY8,575,610
Q9UEY8,666,706
P07550,392,413
Q16186,194,259
Q16186,379,407
Q6ZN18,1,229
Q6ZN18,352,394
Q8WTP8,85,105
Q8WTP8,281,325
P55196,128,194
P55196,349,378
P55196,534,595
P55196,1107,1473
P55196,1501,1528
P55196,1569,1824
P51816,94,187
P51816,204,229
P51816,377,417
P51816,457,530
P51816,574,726
P51816,818,867
P51816,881,942
Q9Y4W6,76,126
Q9Y4W6,759,797
Q9UPQ3,267,343
Q9UPQ3,406,449
Q9UPQ3,496,547
Q99490,24,377
Q99490,582,619
Q99490,634,673
Q99490,769,854
Q99490,1153,1192
Q96P47,1,23
Q96P47,428,568
Q96P47,853,875
Q53H12,249,271
Q9UKV8,1,27
Q9HCK5,825,846
O14514,146,167
O14514,313,335
O14514,1385,1475
O14514,1501,1548
O94910,400,434
O94910,1248,1273
O94910,1294,1328
O94910,1360,1429
O94910,1451,1474
Q9HAR2,426,473
Q9HAR2,1123,1147
Q9HAR2,1423,1447
Q5TGY3,19,108
Q5TGY3,150,236
Q5TGY3,264,285
Q5TGY3,394,467
Q5TGY3,581,607
Q5TGY3,717,792
Q5TGY3,806,827
Q5TGY3,1159,1198
Q5TGY3,1253,1286
Q5TGY3,1503,1533
Q8N157,56,186
Q8N157,215,242
Q8N157,254,327
Q8N157,1115,1196
Q09666,314,347
Q09666,545,564
Q09666,969,993
Q09666,1414,1438
Q09666,1741,1766
Q09666,2409,2439
Q09666,2542,2567
Q09666,2610,2633
Q09666,2667,2696
Q09666,2853,2882
Q09666,2921,2951
Q09666,3122,3145
Q09666,3702,3730
Q09666,3763,3799
Q09666,4093,4117
Q09666,4147,4169
Q09666,4416,4448
Q09666,4488,4508
Q09666,4550,4581
Q09666,4611,4631
Q09666,4746,4768
Q09666,4880,4904
Q09666,5716,5890
P55008,128,147
Q96NN9,22,45
Q16352,441,466
Q96IF1,1,172
Q96IF1,291,315
Q02040,279,337
Q02040,482,695
O43687,72,104
Q86UN6,1,29
Q9UKA4,407,443
Q9UKA4,843,864
Q9UKA4,971,993
Q9UKA4,1131,1153
Q9UKA4,1708,1805
Q9P0M2,1,25
Q9P0M2,316,348
Q02952,1,53
Q02952,71,169
Q02952,189,400
Q02952,421,886
Q02952,938,1089
Q02952,1105,1135
Q02952,1157,1274
Q02952,1305,1355
Q02952,1584,1782
Q9Y2D5,73,165
Q9Y2D5,252,313
Q9Y2D5,335,431
Q9Y2D5,514,563
Q9Y2D5,586,676
Q9Y2D5,731,804
O43823,168,203
O43823,231,254
O43823,269,382
O43823,545,571
O43823,591,692
Q99996,1,57
Q99996,1682,1713
Q99996,3377,3405
Q9ULX6,264,381
Q9ULX6,545,646
Q12802,304,400
Q12802,415,439
Q12802,539,585
Q12802,632,653
Q12802,690,726
Q12802,804,856
Q12802,939,965
Q12802,1431,1455
Q12802,1467,1542
Q12802,1601,1638
Q12802,1755,1793
Q12802,2466,2502
Q12802,2665,2813
Q9Y243,458,479
Q96B36,69,189
Q96B36,197,216
Q96B36,237,256
P47895,1,22
Q9NP73,641,660
Q9NP73,911,974
Q6P6C2,1,26
Q6P6C2,48,83
Q6P6C2,299,394
Q8TCU4,1,69
Q8TCU4,464,483
Q8TCU4,558,579
Q8TCU4,606,625
Q8TCU4,699,718
Q8TCU4,735,769
Q8TCU4,841,865
Q8TCU4,946,969
Q8TCU4,983,1007
Q8TCU4,1027,1055
Q8TCU4,1221,1241
Q8TCU4,1786,1806
Q8TCU4,2454,2477
Q8TCU4,2600,2621
Q8TCU4,2753,2828
Q8TCU4,2892,2912
Q8TCU4,3283,3310
Q8TCU4,3389,3426
Q8TCU4,3564,3594
Q8TCU4,3643,3704
Q96QP1,650,675
Q96QP1,701,737
Q96QP1,757,798
Q96QP1,824,848
Q96Q42,432,480
Q8N7J2,1,24
Q8N7J2,76,358
Q8N7J2,391,414
Q8N7J2,444,598
Q01433,78,103
P49418,244,312
P49418,486,617
Q9BXX2,1,21
Q9BXX2,265,292
Q9BXX2,558,587
Q9BXX2,636,656
Q9BXX2,671,690
Q9BXX2,830,877
Q9BXX2,904,926
Q92688,149,251
O43423,161,234
Q9BTT0,149,268
P16157,875,904
P16157,1486,1510
P16157,1583,1613
P16157,1637,1703
P16157,1718,1791
P16157,1840,1859
Q01484,1,34
Q01484,1457,1486
Q01484,1670,2137
Q01484,2197,2411
Q01484,2430,2484
Q01484,2507,2586
Q01484,2604,2852
Q01484,2864,2904
Q01484,2923,2951
Q01484,2987,3016
Q01484,3072,3099
Q01484,3136,3462
Q01484,3777,3858
Q8IWZ3,1,44
Q8IWZ3,50,69
Q8IWZ3,1441,1517
Q8IWZ3,1534,1614
Q8IWZ3,1632,1664
Q8IWZ3,1886,1923
Q8IWZ3,1987,2106
Q8IWZ3,2260,2367
Q12955,1,44
Q12955,1519,1540
Q12955,1968,1987
Q12955,2107,2159
Q12955,2176,2245
Q12955,2299,2322
Q12955,2383,2433
Q12955,2474,2508
Q12955,2588,2751
Q12955,2795,2824
Q12955,3036,3067
Q12955,3131,3272
Q12955,3298,3436
Q12955,3450,3516
Q12955,3538,3607
Q12955,3633,3718
