Mutations_id_mutation	Disorder_regions_id_idr
24001	12
3994	16
24003	17
24004	17
1	19
24014	19
24016	19
24021	19
24023	19
24024	19
24027	19
24029	19
24033	19
24035	19
24036	19
24037	19
24040	19
24041	19
24043	19
24044	19
24047	23
24048	23
24051	23
24054	23
24055	23
24056	23
24058	23
24060	23
24061	23
24068	23
24074	23
24075	23
24076	23
24077	23
24079	23
24080	23
24081	23
24102	25
24122	25
24178	25
24199	25
24200	25
24205	25
8	31
24310	32
24311	32
24390	41
24396	41
156505	41
4024	42
4030	42
24423	42
24424	42
24440	42
156506	42
156510	42
24458	46
24460	46
12	47
13	47
4032	47
4033	47
4034	47
4035	47
4036	47
4037	47
24468	47
24469	47
24470	47
24471	47
24472	47
24473	47
24474	47
24477	47
24478	47
24479	47
24480	47
24482	47
24483	47
24484	47
24485	47
24486	47
24487	47
24489	47
24490	47
24492	47
24493	47
24494	47
24495	47
24497	47
24498	47
24499	47
24500	47
24501	47
24502	47
24503	47
24504	47
24506	47
24507	47
24508	47
24509	47
24510	47
24511	47
156514	47
156515	47
156517	47
156518	47
156519	47
3374	47
3375	47
22884	47
21	50
24652	50
24654	50
24655	50
24657	50
24658	50
24666	50
24668	50
24669	50
24675	50
24686	50
24693	50
24702	50
24705	50
24706	50
24710	50
24711	50
24717	50
24722	50
24723	50
24724	50
24736	50
24750	50
24806	54
24822	54
3377	55
23	60
24	60
24846	60
24847	60
24848	60
24849	60
24850	60
24851	60
24855	60
24858	60
24859	60
24860	60
24861	60
24863	60
24864	60
24866	60
24867	60
24868	60
24869	60
24871	60
24872	60
24873	60
24875	60
24881	60
24884	60
24885	60
24889	60
24890	60
24891	60
24892	60
24895	60
24896	60
24897	60
24898	60
24899	60
24902	60
24903	60
24904	60
156544	60
156545	60
156546	60
156547	60
4057	62
4058	62
24915	62
24916	62
24927	62
24938	62
24939	62
24945	62
156548	62
24956	64
24958	66
24968	69
24969	69
24970	69
24971	69
24972	69
24973	69
24987	69
24996	69
24999	69
156555	69
22887	69
4061	72
25011	72
25013	72
25018	72
25019	72
25020	72
25024	72
25027	72
25032	72
25035	72
25037	72
25039	72
25042	72
25047	72
25048	72
156557	72
26	74
25057	74
25070	74
25081	74
25088	74
25089	74
3378	74
27	78
25099	78
25101	78
25104	78
25105	78
25107	78
25110	78
25113	78
25116	78
25117	78
25119	78
25121	78
25123	78
25127	78
25130	78
25132	78
25138	78
25141	78
25147	78
25148	78
25149	78
25150	78
25155	78
25156	78
25157	78
25158	78
25160	78
25162	78
25166	78
25167	78
25168	78
25173	78
25242	86
25243	86
25244	86
25245	87
25246	87
25438	96
25446	103
25448	104
25454	105
25461	109
25462	109
25468	109
25470	109
2528	112
25490	112
25496	112
25499	115
25501	115
25503	115
25504	115
25505	115
25508	115
25541	120
25559	120
25564	120
25569	120
25586	120
25594	120
25601	120
25613	120
25631	120
25632	120
25643	120
25665	120
25673	120
25674	120
25675	120
25694	120
25695	120
25696	120
25697	120
25702	120
25717	120
25718	120
25719	120
25720	120
25721	120
25731	120
25732	120
25746	120
25756	120
25818	120
25819	120
25820	120
25821	120
25822	120
25823	120
25824	120
25825	120
25826	120
25827	120
25828	120
25829	120
25830	120
25907	120
25908	120
25909	120
25910	120
25911	120
25912	120
25913	120
25914	120
25915	120
25916	120
25917	120
25918	120
25919	120
25920	120
25943	120
25944	120
25964	120
25965	120
25966	120
25967	120
25968	120
25969	120
25970	120
25995	120
25996	120
25997	120
26021	120
26022	120
26023	120
26024	120
26025	120
26026	120
26027	120
26028	120
26029	120
26045	120
26046	120
26047	120
26048	120
156660	120
156667	121
22898	121
26262	124
26420	136
26432	138
26450	138
26453	138
26468	138
26482	138
26532	140
26577	142
26579	142
26580	143
4295	144
4296	144
4297	144
26582	144
156738	144
156740	144
22902	144
26583	145
26586	145
26587	145
56	147
57	147
58	147
59	147
60	147
4298	147
26590	147
26591	147
26592	147
26593	147
26594	147
26595	147
26597	147
26598	147
26599	147
26601	147
26602	147
26603	147
26604	147
26605	147
26608	147
26612	147
26613	147
26614	147
26615	147
26616	147
26617	147
26618	147
26620	147
26621	147
26624	147
26625	147
26626	147
26628	147
3386	147
26774	150
26775	150
26776	150
26777	150
26778	150
26779	150
26793	151
26800	151
26801	151
156751	151
26823	152
26824	152
26825	152
26838	152
26858	152
26870	152
26871	152
26872	152
26913	152
26921	152
26937	152
26963	152
26964	152
26966	152
26979	152
26981	152
26983	152
4312	156
4316	156
4318	156
4319	156
26987	156
26988	156
26989	156
26990	156
26992	156
26993	156
26994	156
26995	156
156760	156
26997	157
27002	157
27003	157
27006	158
71	163
4362	163
4420	163
27047	163
27081	163
27099	163
27129	163
27265	163
27309	163
156796	163
27390	174
27393	174
27427	184
27437	187
27438	187
27439	187
27440	187
27459	187
27460	187
27462	187
27464	187
27467	187
27473	187
27482	187
27483	187
27490	187
27505	187
27506	187
27508	187
27511	187
27512	187
27513	187
4453	189
4456	189
4469	189
27531	189
27532	189
27533	189
27537	189
27540	189
156875	189
156876	189
4471	191
27541	192
28144	204
2529	208
4602	208
4604	208
28219	208
28224	208
3389	208
4606	213
4608	213
4610	213
4611	213
4614	213
4615	213
4616	213
4617	213
4621	213
4622	213
4625	213
28229	213
28231	213
28238	213
28239	213
28241	213
28249	213
28255	213
28256	213
28263	213
28269	213
28276	213
156978	213
156983	213
28278	216
28279	216
28284	217
28295	217
4631	221
28359	225
28360	225
28363	225
4638	233
4642	233
28401	233
28405	233
28406	233
28407	233
28414	233
28423	233
28454	233
28457	233
28473	233
28485	233
28499	233
28500	233
28507	233
28527	233
28531	233
28536	233
156992	233
156995	234
28545	235
28562	235
28564	235
100	238
4654	238
4655	238
4657	238
28567	238
28570	238
28573	238
28574	238
28575	238
28576	238
28577	238
28582	238
28583	238
28584	238
28585	238
28586	238
28589	238
28590	238
28591	238
28592	238
28599	238
28600	238
28602	238
28603	238
28606	238
28607	238
28610	238
28613	238
28614	238
28621	238
28625	238
28626	238
28627	238
28628	238
28633	238
28634	238
28635	238
28636	238
28637	238
28642	238
28643	238
28644	238
28653	238
28654	238
28655	238
28658	238
28661	238
28663	238
28665	238
28666	238
28667	238
28668	238
28669	238
28670	238
28671	238
28672	238
28673	238
28674	238
28675	238
28676	238
28706	238
28707	238
28708	238
28709	238
28710	238
28711	238
28712	238
28713	238
28714	238
28715	238
28745	238
28746	238
28747	238
28754	238
28755	238
28756	238
28766	238
28774	238
28775	238
157000	238
3390	238
22912	238
22913	238
28785	242
2530	246
4660	246
4661	246
28788	246
28791	246
28793	246
28798	246
28800	246
28801	246
28804	246
28805	246
28806	246
28809	246
28810	246
28811	246
28814	246
28824	246
28825	246
28827	246
28830	246
28835	246
28836	246
28837	246
28839	246
28841	246
28846	246
28850	246
28852	246
28853	246
157001	246
28892	248
28894	248
28913	248
28920	248
28925	248
28954	248
28968	248
109	249
111	249
115	249
4668	249
4672	249
4675	249
4676	249
4682	249
4688	249
4690	249
4695	249
4696	249
4697	249
4700	249
4705	249
4706	249
4708	249
4710	249
4713	249
4714	249
4717	249
4721	249
4733	249
4735	249
4736	249
4740	249
4756	249
4757	249
28986	249
28987	249
29007	249
29008	249
29010	249
29019	249
29020	249
29021	249
29022	249
29026	249
29027	249
29028	249
29034	249
29035	249
29036	249
29037	249
29053	249
29054	249
29055	249
29101	249
29116	249
29117	249
29118	249
29127	249
29166	249
29167	249
29184	249
29188	249
29190	249
29191	249
29195	249
29213	249
29233	249
29238	249
29241	249
29242	249
29249	249
29250	249
29251	249
29255	249
29256	249
29257	249
29260	249
29261	249
29277	249
29279	249
29288	249
29291	249
29297	249
29298	249
29302	249
29309	249
29321	249
29322	249
29323	249
29324	249
29331	249
29337	249
29348	249
29349	249
29350	249
29352	249
29353	249
29354	249
29355	249
29356	249
29357	249
29364	249
29365	249
29367	249
29368	249
29389	249
29392	249
29403	249
29404	249
29405	249
29409	249
29410	249
29418	249
29424	249
29425	249
157009	249
157014	249
157021	249
157026	249
157030	249
157031	249
157037	249
157038	249
117	250
118	250
4765	250
4766	250
4767	250
4768	250
4769	250
4772	250
29444	250
29447	250
29448	250
29451	250
29453	250
29454	250
29461	250
29462	250
29463	250
29464	250
29467	250
29471	250
29472	250
29475	250
29476	250
29477	250
29479	250
29480	250
29491	250
29492	250
29493	250
29494	250
29495	250
29496	250
29497	250
29506	250
29516	250
29517	250
29528	250
29529	250
29530	250
29532	250
29534	250
29535	250
2634	250
157044	250
157045	250
157046	250
157047	250
157051	250
157052	250
3396	250
