uniprot_acc	refseq	version
B4DZC3	NM_001317960	1
Q01081	NM_001320646	1
Q96MU7	NM_001330698	1
P06730	NM_001331017	1
P0DMV9	NM_005345	5
P0DMV8	NM_005346	4
P0DN76	NM_006758	2
J3KQN4	NM_021029	5
P62807	NM_021063	3
A0A024RBG1	NM_199040	3
A0A096LP55	NM_001089591	1
A0A0U1RRE5	NM_001348129	1
A0AV96	NM_001098634	1
A0AV96	NM_019027	3
A0AV96	XM_005248103	3
A0AV96	XM_005248107	3
A0AV96	XM_005248108	3
A0AV96	XM_005248109	4
A0AV96	XM_011513704	2
A0AV96	XM_011513707	2
A0AV96	XM_011513708	2
A0AV96	XM_017008304	1
A0AV96	XM_017008305	1
A0AV96	XM_017008306	1
A0AV96	XM_017008307	1
A0AV96	XM_017008308	1
A0AV96	XM_017008310	1
A0FGR8	NM_020728	2
A0FGR9	NM_001322831	1
A0FGR9	NM_031913	4
A0MZ66	NM_001127211	2
A0MZ66	NM_001258298	1
A0MZ66	NM_001258299	1
A0MZ66	NM_001258300	1
A0MZ66	NM_018330	6
A0MZ66	XM_017016462	1
A1KXE4	NM_001009993	3
A1KXE4	NM_001321743	1
A1KXE4	NM_001321744	1
A1KXE4	NM_001321745	1
A1KXE4	NM_001321746	1
A1KXE4	NM_001321747	1
A1KXE4	NM_001321748	1
A1KXE4	XM_017003327	1
A1KZ92	NM_144651	4
A1L020	NM_001093725	1
A1L3X0	NM_001104558	1
A1L3X0	NM_001297617	1
A1L3X0	NM_001297618	1
A1L3X0	NM_024930	2
A1L3X0	XM_005248606	4
A1L3X0	XM_006714695	3
A1L3X0	XM_011543651	2
A1L3X0	XM_017009885	1
A2A288	NM_207360	2
A2A3K4	NM_001253829	1
A2A3K4	NM_001253830	1
A2A3K4	NM_152422	4
A2A3K4	NM_177995	2
A2A3K4	XM_005251711	4
A2A3K4	XM_011518240	2
A2A3K4	XM_011518241	2
A2A3K4	XM_017014280	1
A2A3K4	XM_017014281	1
A2RTX5	NM_152334	2
A4D1E9	NM_001042717	2
A4D1E9	NM_033107	3
A4D1P6	NM_014149	3
A5PKW4	NM_001270965	1
A5PKW4	NM_001270966	1
A5PKW4	NM_002779	4
A5PKW4	XM_011539968	1
A5PKW4	XM_011539969	2
A5PKW4	XM_017016433	1
A5PKW4	XM_017016434	1
A5YKK6	NM_001265612	1
A5YKK6	NM_016284	4
A5YKK6	NM_206999	2
A6H8Y1	NM_018429	2
A6NC42	NM_001025290	2
A6NCS6	NM_001144994	1
A6NE02	NM_001080466	1
A6NFN3	NM_001082575	2
A6NFN3	XM_017024210	1
A6NH52	NM_001079512	3
A6NH52	XM_006720944	3
A6NH52	XM_011522654	2
A6NH52	XM_017023649	1
A6NHR9	NM_015295	2
A6NIX2	NM_001080436	1
A6NKD9	NM_001144995	1
A6NKT7	NM_001144013	1
A6NL88	NM_001145176	1
A7E2Y1	NM_020884	4
A8K8P3	NM_001007467	2
A8K8P3	NM_001258325	1
A8K8P3	NM_001258326	1
A8K8P3	NM_001258327	1
A8K8P3	NM_014775	3
A8K8P3	XM_006724390	2
A8K8P3	XM_017029151	1
A8K8P3	XM_017029154	1
A9QM74	NM_001145715	2
B9A064	NM_001178126	1
C9JLW8	NM_001093767	2
C9JLW8	NM_207368	4
C9JRZ8	NM_001080538	2
C9JRZ8	XM_011516241	2
C9JRZ8	XM_017012224	1
F5H284	NM_001164261	1
I0J062	NM_001293167	1
O00139	NM_001098511	2
O00139	NM_001243952	1
O00139	NM_004520	4
O00142	NM_001172643	1
O00142	NM_001172644	1
O00142	NM_001271935	1
O00142	NM_001272050	1
O00142	NM_004614	4
O00148	NM_005804	3
O00148	XM_011527620	1
O00151	NM_020992	3
O00159	NM_001080779	1
O00159	NM_001080950	1
O00159	NM_033375	4
O00160	NM_012335	3
O00165	NM_001018837	1
O00165	NM_006118	3
O00170	NM_001302959	1
O00170	NM_001302960	1
O00170	NM_003977	3
O00186	NM_007269	3
O00203	NM_001271769	1
O00203	NM_003664	4
O00214	NM_006499	4
O00214	NM_201543	2
O00214	NM_201544	2
O00214	NM_201545	2
O00217	NM_002496	3
O00217	XM_005274013	1
O00217	XM_005274014	2
O00217	XM_011545053	2
O00231	NM_001270482	1
O00231	NM_002815	3
O00238	NM_001203	2
O00238	NM_001256792	1
O00238	NM_001256793	1
O00238	NM_001256794	1
O00238	XM_011532201	2
O00238	XM_017008558	1
O00238	XM_017008559	1
O00238	XM_017008560	1
O00238	XM_017008561	1
O00257	NM_003655	2
O00264	NM_001282621	1
O00264	NM_006667	4
O00291	NM_001243198	2
O00291	NM_005338	6
O00291	XM_005250304	2
O00291	XM_011516116	2
O00299	NM_001287593	1
O00299	NM_001287594	1
O00299	NM_001288	4
O00303	NM_003754	2
O00305	NM_000726	4
O00305	NM_001005746	3
O00305	NM_001005747	3
O00305	NM_001145798	2
O00305	NM_001320722	2
O00311	NM_001134419	1
O00311	NM_001134420	1
O00311	NM_003503	3
O00311	XM_005271241	2
O00330	NM_001135024	1
O00330	NM_001166158	1
O00330	NM_003477	2
O00401	NM_003941	3
O00408	NM_001143839	3
O00408	NM_001146209	2
O00408	NM_001243784	1
O00408	NM_002599	4
O00410	NM_002271	4
O00410	XM_005254052	3
O00410	XM_005254053	3
O00410	XM_011521087	2
O00410	XM_011521088	2
O00410	XM_011521089	2
O00410	XM_011521090	2
O00410	XM_017020562	1
O00411	NM_005035	3
O00422	NM_005870	4
O00425	NM_006547	2
O00429	NM_001278463	1
O00429	NM_001278464	1
O00429	NM_001278465	1
O00429	NM_001278466	1
O00429	NM_001330380	1
O00429	NM_005690	4
O00429	NM_012062	4
O00429	NM_012063	3
O00442	NM_001130841	1
O00442	NM_003729	3
O00443	NM_001321378	1
O00443	NM_002645	3
O00443	XM_017017924	1
O00444	NM_001190799	1
O00444	NM_001190801	1
O00444	NM_014264	4
O00445	NM_001297774	1
O00445	NM_003180	2
O00445	XM_006723339	3
O00445	XM_017027175	1
O00445	XM_017027176	1
O00459	NM_005027	3
O00471	NM_006544	3
O00483	NM_002489	3
O00487	NM_005805	5
O00499	NM_001320632	1
O00499	NM_001320633	1
O00499	NM_001320640	1
O00499	NM_001320641	1
O00499	NM_001320642	1
O00499	NM_004305	3
O00499	NM_139343	2
O00499	NM_139344	2
O00499	NM_139345	2
O00499	NM_139346	2
O00499	NM_139347	2
O00499	NM_139348	2
O00499	NM_139349	2
O00499	NM_139350	2
O00499	NM_139351	2
O00505	NM_002267	3
O00506	NM_001271977	1
O00506	NM_001271978	1
O00506	NM_001271979	1
O00506	NM_001271980	1
O00506	NM_001282305	1
O00506	NM_001282307	1
O00506	NM_001282308	1
O00506	NM_006374	4
O00519	NM_001441	2
O00522	NM_001013406	1
O00522	NM_004912	3
O00522	NM_194454	1
O00522	NM_194455	1
O00522	NM_194456	1
O00522	XM_005250660	3
O00522	XM_005250662	3
O00522	XM_005250665	3
O00522	XM_005250666	3
O00522	XM_005250667	2
O00522	XM_005250668	3
O00522	XM_005250669	3
O00522	XM_006716161	3
O00522	XM_006716162	3
O00522	XM_006716163	3
O00522	XM_011516651	2
O00522	XM_011516653	2
O00522	XM_011516654	2
O00522	XM_011516655	2
O00522	XM_011516656	2
O00522	XM_011516657	2
O00522	XM_011516658	2
O00522	XM_011516659	2
O00522	XM_011516660	2
O00522	XM_011516661	2
O00522	XM_017012755	1
O00522	XM_017012756	1
O00522	XM_017012757	1
O00533	NM_001253387	1
O00533	NM_006614	3
O00533	XM_006712938	1
O00533	XM_006712939	3
O00533	XM_006712940	3
O00533	XM_011533292	1
O00533	XM_011533294	1
O00533	XM_011533295	1
O00533	XM_017005566	1
O00533	XM_017005567	1
O00533	XM_017005568	1
O00533	XM_017005569	1
O00533	XM_017005570	1
O00533	XM_017005571	1
O00541	NM_001243225	1
O00541	NM_014303	3
O00560	NM_001007067	1
O00560	NM_001007068	1
O00560	NM_001007069	1
O00560	NM_001007070	1
O00560	NM_005625	3
O00566	NM_005791	2
O00567	NM_006392	3
O00571	NM_001193416	2
O00571	NM_001193417	2
O00571	NM_001356	4
O00584	NM_003730	4
O00585	NM_002989	3
O00623	NM_000286	2
O00628	NM_000288	3
O00629	NM_002268	4
O00743	NM_001123355	1
O00743	NM_001123369	1
O00743	NM_002721	4
O00746	NM_001286433	1
O00746	NM_001286435	1
O00746	NM_001286436	1
O00746	NM_001286438	1
O00746	NM_001286439	1
O00746	NM_001286440	1
O00746	NM_005009	2
O00750	NM_002646	3
O00750	XM_005245257	2
O00750	XM_011509630	2
O00750	XM_011509631	2
O00750	XM_017001473	1
O00750	XM_017001474	1
O00757	NM_003837	3
O00764	NM_003681	4
O00764	XM_005261199	2
O00764	XM_011529760	2
O00764	XM_011529761	1
O00764	XM_017028483	1
O00764	XM_017028484	1
O00767	NM_005063	4
O14490	NM_001003809	2
O14490	NM_001242761	1
O14490	NM_001242762	1
O14490	NM_001242763	1
O14490	NM_001242764	1
O14490	NM_001242765	1
O14490	NM_001242766	1
O14490	NM_004746	3
O14494	NM_003711	3
O14494	NM_176895	2
O14495	NM_003713	4
O14511	NM_001184935	1
O14511	NM_004883	2
O14511	NM_013981	3
O14511	NM_013982	2
O14511	NM_013983	2
O14511	XM_006714810	3
O14514	NM_001702	2
O14514	XM_011517199	2
O14522	NM_007050	5
O14522	NM_133170	3
O14531	NM_006426	2
O14548	NM_001319036	1
O14548	NM_001319040	1
O14548	NM_004718	3
O14576	NM_001135556	1
O14576	NM_001135557	1
O14576	NM_001278421	1
O14576	NM_001278422	1
O14576	NM_004411	4
O14576	XM_011515861	1
O14576	XM_011515862	1
O14576	XM_017011804	1
O14576	XM_017011805	1
O14578	NM_001206999	1
O14578	NM_007174	2
O14594	NM_004386	2
O14602	NM_001278612	1
O14602	NM_004681	3
O14617	NM_001261826	1
O14617	NM_003938	6
O14639	NM_001003407	1
O14639	NM_001322882	1
O14639	NM_001322892	1
O14639	NM_001322893	1
O14639	NM_001322896	1
O14639	NM_002313	5
O14639	NM_006720	3
O14641	NM_004422	2
O14646	NM_001270	2
O14646	XM_005271867	4
O14717	NM_001321006	1
O14717	NM_001321007	1
O14717	NM_004412	6
O14717	XM_005252375	4
O14730	NM_003831	4
O14734	NM_005469	3
O14744	NM_001039619	2
O14744	NM_001282953	1
O14744	NM_001282955	1
O14744	NM_001282956	1
O14744	NM_006109	4
O14746	NM_001193376	1
O14746	NM_198253	2
O14757	NM_001114121	2
O14757	NM_001114122	2
O14757	NM_001244846	1
O14757	NM_001274	5
O14757	NM_001330428	1
O14757	XM_017017146	1
O14773	NM_000391	3
O14775	NM_006578	3
O14775	NM_016194	3
O14776	NM_001040006	1
O14776	NM_006706	3
O14777	NM_006101	2
O14787	NM_001136195	1
O14787	NM_001136196	1
O14787	NM_013433	4
O14802	NM_007055	3
O14807	NM_001085049	2
O14807	NM_001252090	1
O14807	NM_001252091	1
O14807	NM_001252092	1
O14807	NM_001252093	1
O14807	NM_012219	4
O14807	XM_005247228	1
O14807	XM_017005887	1
O14818	NM_002792	3
O14827	NM_006909	2
O14829	NM_006240	2
O14829	NM_152224	1
O14829	NM_152226	1
O14829	XM_005274553	2
O14830	NM_006239	2
O14830	XM_011532039	2
O14832	NM_001037537	1
O14832	NM_001323080	1
O14832	NM_006214	3
O14874	NM_001122957	2
O14874	NM_001271926	1
O14874	NM_005881	3
O14893	NM_001009182	1
O14893	NM_001009183	1
O14893	NM_003616	2
O14908	NM_005716	3
O14908	NM_202468	2
O14908	NM_202469	2
O14908	NM_202470	2
O14908	NM_202494	2
O14908	XM_017026147	1
O14908	XM_017026148	1
O14910	NM_004664	3
O14920	NM_001190720	2
O14920	NM_001242778	1
O14920	NM_001556	2
O14925	NM_006327	3
O14936	NM_001126054	2
O14936	NM_001126055	2
O14936	NM_003688	3
O14950	NM_001144944	1
O14950	NM_001144945	1
O14950	NM_001303049	1
O14950	NM_033546	3
O14964	NM_004712	4
O14965	NM_001323303	1
O14965	NM_001323304	1
O14965	NM_001323305	1
O14965	NM_003600	3
O14965	NM_198433	2
O14965	NM_198434	2
O14965	NM_198435	2
O14965	NM_198436	2
O14965	NM_198437	2
O14965	XM_017028035	1
O14974	NM_001143885	1
O14974	NM_001143886	1
O14974	NM_001244990	1
O14974	NM_001244992	1
O14974	NM_002480	2
O14974	XM_011538383	2
O14976	NM_001318134	1
O14976	NM_005255	3
O14977	NM_015878	5
O14977	NM_148174	3
O14977	XM_011517126	1
O14977	XM_011517127	1
O14979	NM_001207000	1
O14979	NM_031372	3
O14980	NM_003400	3
O14980	XM_006712094	2
O14980	XM_011533097	1
O14983	NM_001286075	1
O14983	NM_004320	4
O14983	NM_173201	3
O14994	NM_003490	3
O14994	NM_133633	2
O14994	XM_011530405	2
O14994	XM_011530406	2
O14994	XM_011530407	2
O14994	XM_011530408	1
O14994	XM_017028960	1
O14994	XM_017028961	1
O14994	XM_017028962	1
O14994	XM_017028963	1
O15013	NM_001308152	1
O15013	NM_001308153	1
O15013	NM_014629	3
O15013	XM_017014003	1
O15020	NM_006946	2
O15020	XM_005274192	4
O15020	XM_005274193	3
O15020	XM_006718671	3
O15020	XM_017018174	1
O15020	XM_017018175	1
O15020	XM_017018176	1
O15020	XM_017018177	1
O15020	XM_017018178	1
O15031	NM_012401	3
O15031	XM_005261909	1
O15031	XM_005261910	2
O15031	XM_005261911	4
O15031	XM_006724413	2
O15031	XM_017028703	1
O15031	XM_017028704	1
O15034	NM_015347	4
O15042	NM_001080415	1
O15042	NM_001320219	1
O15042	NM_001320220	1
O15042	NM_001320222	1
O15042	XM_017006038	1
O15042	XM_017006039	1
O15047	NM_014712	2
O15047	XM_005255723	1
O15047	XM_006721106	3
O15047	XM_017023909	1
O15055	NM_022817	2
